word,score
환불,792
중국,445
한복,325
한국,296
게임,190
짱깨,187
돈,157
공지,156
우리,149
유저,131
글,128
말,127
새끼,123
섭종,121
문화,109
씨발,97
샤이닝니키,97
개인정보,95
생각,91
지랄,87
사람,77
놈,75
중국인,74
탈퇴,69
삭제,68
끝,67
겜,63
사과,60
모욕,60
점검,55
남,55
전액,54
역사,53
카페,52
민주주의,51
구글,51
대한민국,49
전통,48
너희,48
우리나라,47
민주화,46
욕,44
종료,42
운영,42
소리,42
시진핑,42
댓글,42
전통의상,41
옷,41
국가,41
한푸,40
처리,40
존나,40
서비스,38
결제,38
병신,36
파기,34
페이퍼,33
한국인,33
진행,33
수준,32
서버,31
조국,30
