순위,단어,빈도,,,
509,찬양,14,,,
510,천년,14,,,
511,팔,14,,,
512,팬,14,,,
513,화,14,,,
514,감정,13,,,
515,개념,13,,,
516,개돼지,13,,,
517,공산,13,,,
518,국적,13,,,
519,기적,13,,,
520,내부,13,,,
521,도전,13,,,
522,동안,13,,,
523,둘,13,,,
524,드라마,13,,,
525,마무리,13,,,
526,멸망,13,,,
527,문,13,,,
528,물건,13,,,
529,박근혜,13,,,
530,번역,13,,,
531,변발,13,,,
532,보이,13,,,
533,상상,13,,,
534,선생님,13,,,
535,세라,13,,,
536,소설,13,,,
537,시민,13,,,
538,애국,13,,,
539,열,13,,,
540,옹호,13,,,
541,이분,13,,,
542,이익,13,,,
543,이탈리아,13,,,
544,전체주의,13,,,
545,전통문화,13,,,
546,정보,13,,,
547,중국사람,13,,,
548,진행,13,,,
549,짝퉁,13,,,
550,탓,13,,,
551,티베트,13,,,
552,화가,13,,,
553,개인정보,12,,,
554,거짓,12,,,
555,검,12,,,
556,공장,12,,,
557,길,12,,,
558,난리,12,,,
559,넘버원,12,,,
560,당국,12,,,
561,동지,12,,,
562,러시아,12,,,
563,맘,12,,,
564,몇,12,,,
565,목표,12,,,
566,보기,12,,,
567,불법,12,,,
568,불호,12,,,
569,사고,12,,,
570,설명,12,,,
571,소름,12,,,
572,쇼,12,,,
573,식민지,12,,,
574,애비,12,,,
575,양식,12,,,
576,양심,12,,,
577,얼마,12,,,
578,여자,12,,,
579,열망,12,,,
580,영향력,12,,,
581,외부,12,,,
582,유지,12,,,
583,이쯤,12,,,
584,인식,12,,,
585,일본도,12,,,
586,잡고,12,,,
587,장사,12,,,
588,죄,12,,,
589,집,12,,,
590,착,12,,,
591,카페,12,,,
592,크기,12,,,
593,하라,12,,,
594,하루,12,,,
595,학살,12,,,
596,헛소리,12,,,
597,혁명,12,,,
598,가능성,11,,,
599,가야,11,,,
600,검색,11,,,
601,결론,11,,,
602,계획,11,,,
603,공정,11,,,
604,구독,11,,,
605,국회의원,11,,,
606,극우,11,,,
607,기도,11,,,
608,기본,11,,,
609,기어,11,,,
610,노예,11,,,
611,담,11,,,
612,대충,11,,,
613,독일,11,,,
614,등장,11,,,
615,따위,11,,,
616,모름,11,,,
617,반응,11,,,
618,방,11,,,
619,블리자드,11,,,
620,산업,11,,,
621,섭,11,,,
622,성향,11,,,
623,소련,11,,,
624,스펀지밥,11,,,
625,시비,11,,,
626,아프리카,11,,,
627,엔딩,11,,,
628,역대,11,,,
629,완전,11,,,
630,유물,11,,,
631,유산,11,,,
632,의존,11,,,
633,장제스,11,,,
634,적극,11,,,
635,절,11,,,
636,정복,11,,,
637,조만간,11,,,
638,차단,11,,,
639,척,11,,,
640,청,11,,,
641,침탈,11,,,
642,하자,11,,,
643,홍보,11,,,
644,확인,11,,,
645,흡수,11,,,
646,감옥,10,,,
647,개판,10,,,
648,깨,10,,,
649,꿈,10,,,
650,대상,10,,,
651,며칠,10,,,
652,목,10,,,
653,미호,10,,,
654,병,10,,,
655,부수,10,,,
656,사이트,10,,,
657,상태,10,,,
658,새,10,,,
659,선동,10,,,
660,세계대전,10,,,
661,수정,10,,,
662,순간,10,,,
663,스킨,10,,,
664,시원,10,,,
665,실현,10,,,
666,엄마,10,,,
667,여론,10,,,
668,여행,10,,,
669,영국,10,,,
670,왕따,10,,,
671,외국인,10,,,
672,위구르인,10,,,
673,위협,10,,,
674,의식,10,,,
675,의원,10,,,
676,이미지,10,,,
677,이자,10,,,
678,인권,10,,,
679,인성,10,,,
680,인종,10,,,
681,인지,10,,,
682,적국,10,,,
683,정당,10,,,
684,제외,10,,,
685,젤,10,,,
686,조장,10,,,
687,종료,10,,,
688,집단,10,,,
689,쩌둥,10,,,
690,차별,10,,,
691,차지,10,,,
692,초기,10,,,
693,축제,10,,,
694,춘추전국시대,10,,,
695,캐릭터,10,,,
696,코인,10,,,
697,통제,10,,,
698,티베트인,10,,,
699,팀,10,,,
700,판호,10,,,
701,포기,10,,,
702,프랑스,10,,,
703,핑크,10,,,
704,해킹,10,,,
705,향,10,,,
706,현대,10,,,
707,호주,10,,,
708,회수,10,,,
709,가짜,9,,,
710,거래,9,,,
711,고유,9,,,
712,국산,9,,,
713,궁,9,,,
714,권력,9,,,
715,규모,9,,,
716,급,9,,,
717,나머지,9,,,
718,냄새,9,,,
719,넌,9,,,
720,년,9,,,
721,뇌,9,,,
722,뉴스,9,,,
723,당나라,9,,,
724,대항,9,,,
725,도발,9,,,
726,동의,9,,,
727,디자인,9,,,
728,링크,9,,,
729,만주,9,,,
730,매수,9,,,
731,미군,9,,,
732,밀고,9,,,
733,반일,9,,,
734,방송,9,,,
735,방탄,9,,,
736,보지,9,,,
737,부대,9,,,
738,블랙,9,,,
739,비난,9,,,
740,사가,9,,,
741,세금,9,,,
742,소수,9,,,
743,수로,9,,,
744,숫자,9,,,
745,아리랑,9,,,
746,안보,9,,,
747,암,9,,,
748,언론,9,,,
749,연합,9,,,
750,영화,9,,,
751,오브,9,,,
752,위구르족,9,,,
753,위기,9,,,
754,유래,9,,,
755,음식,9,,,
756,의심,9,,,
757,이용,9,,,
758,이웃,9,,,
759,일본인,9,,,
760,입맛,9,,,
761,장웨이제,9,,,
762,재팬,9,,,
763,전략,9,,,
764,정신병,9,,,
765,정체,9,,,
766,제국주의,9,,,
767,조사,9,,,
768,졸라,9,,,
769,주석,9,,,
770,주입,9,,,
771,주제,9,,,
772,중원,9,,,
773,집권,9,,,
774,찬성,9,,,
775,청원,9,,,
776,초,9,,,
777,취급,9,,,
778,코스튬,9,,,
779,큰일,9,,,
780,키,9,,,
781,키배,9,,,
782,타국,9,,,
783,탈,9,,,
784,탑,9,,,
785,통수,9,,,
786,퍼,9,,,
787,한적,9,,,
788,행보,9,,,
789,혐한,9,,,
790,화이팅,9,,,
791,가슴,8,,,
792,개입,8,,,
793,거란,8,,,
794,건국,8,,,
795,견제,8,,,
796,결정,8,,,
797,계기,8,,,
798,국문,8,,,
799,군대,8,,,
800,그림,8,,,
801,글자,8,,,
802,기사,8,,,
803,기회,8,,,
804,꽃,8,,,
805,나치독일,8,,,
806,난징,8,,,
807,난징대,8,,,
808,능력,8,,,
809,대전,8,,,
810,대처,8,,,
811,도둑질,8,,,
812,롤드컵,8,,,
813,만들기,8,,,
814,만해,8,,,
815,메이드,8,,,
816,멘트,8,,,
817,모욕,8,,,
818,목적,8,,,
819,몸조심,8,,,
820,문화재,8,,,
821,바퀴벌레,8,,,
822,발악,8,,,
823,발음,8,,,
824,보통,8,,,
825,북방,8,,,
826,비율,8,,,
827,빡,8,,,
828,빼,8,,,
829,상이,8,,,
830,선조,8,,,
831,수십,8,,,
832,슬슬,8,,,
833,시선,8,,,
834,시전,8,,,
835,시점,8,,,
836,실수,8,,,
837,싸움,8,,,
838,씹덕,8,,,
839,아편전쟁,8,,,
840,악질,8,,,
841,안남,8,,,
842,역사상,8,,,
843,온갖,8,,,
844,왕조,8,,,
845,요약,8,,,
846,욕심,8,,,
847,용기,8,,,
848,원인,8,,,
849,위치,8,,,
850,유학생,8,,,
851,이지,8,,,
852,인물,8,,,
853,인해전술,8,,,
854,자살,8,,,
855,재앙,8,,,
856,저번,8,,,
857,점령,8,,,
858,제작,8,,,
859,조공,8,,,
860,조지,8,,,
861,존엄,8,,,
862,좆,8,,,
863,주의자,8,,,
864,지난번,8,,,
865,지리,8,,,
866,직접,8,,,
867,질병,8,,,
868,짜장면,8,,,
869,찍,8,,,
870,철수,8,,,
871,추가,8,,,
872,추천,8,,,
873,캬,8,,,
874,컨셉,8,,,
875,코리아,8,,,
876,타령,8,,,
877,텐센트,8,,,
878,통한,8,,,
879,특정,8,,,
880,판단,8,,,
881,팝,8,,,
882,하늘,8,,,
883,해당,8,,,
884,핸드폰,8,,,
885,혼자,8,,,
886,환단고기,8,,,
887,환영,8,,,
888,희생,8,,,
889,가입,7,,,
890,가족,7,,,
891,개새끼,7,,,
892,개시,7,,,
893,겁,7,,,
894,게시,7,,,
895,결과,7,,,
896,고립,7,,,
897,공,7,,,
898,공감,7,,,
899,교과서,7,,,
900,군사,7,,,
901,글로벌,7,,,
902,나름,7,,,
903,내몽골,7,,,
904,내지,7,,,
905,단계,7,,,
906,당선,7,,,
907,대가,7,,,
908,대다수,7,,,
909,대사,7,,,
910,덕분,7,,,
911,동양,7,,,
912,동영상,7,,,
913,등신,7,,,
914,디지털,7,,,
915,딱지,7,,,
916,로남불,7,,,
917,리그,7,,,
918,마윈,7,,,
919,말로,7,,,
920,맥락,7,,,
921,명언,7,,,
922,목숨,7,,,
923,밑,7,,,
924,바람,7,,,
925,밖,7,,,
926,방해,7,,,
927,배경,7,,,
928,백년,7,,,
929,보시라이,7,,,
930,보존,7,,,
931,분야,7,,,
932,비단,7,,,
933,사고방식,7,,,
934,사례,7,,,
935,산봉우리,7,,,
936,상식,7,,,
937,상호,7,,,
938,샤니,7,,,
939,서양,7,,,
940,선택,7,,,
941,설,7,,,
942,성,7,,,
943,세대,7,,,
944,세운,7,,,
945,셈,7,,,
946,소비,7,,,
947,손절,7,,,
948,수복,7,,,
949,숙청,7,,,
950,시즌,7,,,
951,실질,7,,,
952,십년,7,,,
953,아래,7,,,
954,아미,7,,,
955,아버지,7,,,
956,아편,7,,,
957,알리,7,,,
958,압도,7,,,
959,약,7,,,
960,약간,7,,,
961,양산,7,,,
962,억압,7,,,
963,업적,7,,,
964,여기저기,7,,,
965,예수,7,,,
966,예정,7,,,
967,요리,7,,,
968,우파,7,,,
969,운영자,7,,,
970,위로,7,,,
971,유교,7,,,
972,유튜버,7,,,
973,유튭,7,,,
974,은근,7,,,
975,인수,7,,,
976,자존심,7,,,
977,작년,7,,,
978,작업,7,,,
979,적도,7,,,
980,적용,7,,,
981,전작,7,,,
982,절반,7,,,
983,점검,7,,,
984,정의,7,,,
985,제재,7,,,
986,좌표,7,,,
987,중국역사,7,,,
988,집결,7,,,
989,천안문사태,7,,,
990,첫,7,,,
991,체제,7,,,
992,최소한,7,,,
993,최초,7,,,
994,축구,7,,,
995,커뮤니티,7,,,
996,퀄리티,7,,,
997,탈출,7,,,
998,특징,7,,,
999,파기,7,,,
1000,편입,7,,,
1001,평생,7,,,
1002,폭발,7,,,
1003,표기,7,,,
1004,프로,7,,,
1005,행사,7,,,
1006,현,7,,,
1007,가시,6,,,
1008,가요,6,,,
1009,간도,6,,,
1010,감소,6,,,
1011,강대국,6,,,
1012,강요,6,,,
1013,강탈,6,,,
1014,개조,6,,,
1015,거짓말,6,,,
1016,결승전,6,,,
1017,경계,6,,,
1018,경쟁,6,,,
1019,고작,6,,,
1020,골,6,,,
1021,과금,6,,,
1022,관복,6,,,
1023,구분,6,,,
1024,국수,6,,,
1025,규제,6,,,
1026,극단,6,,,
1027,기념,6,,,
1028,기존,6,,,
1029,꼬리,6,,,
1030,끝판,6,,,
1031,네티즌,6,,,
1032,넥슨,6,,,
1033,뇌절,6,,,
1034,능,6,,,
1035,다가,6,,,
1036,다수,6,,,
1037,다운,6,,,
1038,대고,6,,,
1039,댐,6,,,
1040,던파,6,,,
1041,도둑,6,,,
1042,독,6,,,
1043,라인,6,,,
1044,마오쩌뚱,6,,,
1045,마인드,6,,,
1046,만리장성,6,,,
1047,말살,6,,,
1048,말투,6,,,
1049,먹이,6,,,
1050,멍청이,6,,,
1051,몇개,6,,,
1052,몇번,6,,,
1053,모,6,,,
1054,모양,6,,,
1055,모조리,6,,,
1056,목소리,6,,,
1057,미가,6,,,
1058,미국인,6,,,
1059,바보,6,,,
1060,박물관,6,,,
1061,반도체,6,,,
1062,반성,6,,,
1063,발상,6,,,
1064,버러지,6,,,
1065,벌,6,,,
1066,변화,6,,,
1067,보상,6,,,
1068,분단,6,,,
1069,분리,6,,,
1070,불가,6,,,
1071,불만,6,,,
1072,사업,6,,,
1073,사인,6,,,
1074,사지,6,,,
1075,살의,6,,,
1076,삼국시대,6,,,
1077,색,6,,,
1078,선전,6,,,
1079,섬,6,,,
1080,성공,6,,,
1081,세,6,,,
1082,소녀,6,,,
1083,소문,6,,,
1084,수장,6,,,
1085,스타일,6,,,
1086,스폰지밥,6,,,
1087,승리,6,,,
1088,시,6,,,
1089,시도,6,,,
1090,신도,6,,,
1091,신장,6,,,
1092,아시,6,,,
1093,아우,6,,,
1094,악의,6,,,
1095,암살,6,,,
1096,압박,6,,,
1097,여진족,6,,,
1098,역,6,,,
1099,역병,6,,,
1100,연관,6,,,
1101,연설,6,,,
1102,유사,6,,,
1103,유전자,6,,,
1104,의문,6,,,
1105,이득,6,,,
1106,이하,6,,,
1107,인척,6,,,
1108,일러레,6,,,
1109,일반,6,,,
1110,자고,6,,,
1111,자리,6,,,
1112,자본주의,6,,,
1113,작가,6,,,
1114,잡,6,,,
1115,장면,6,,,
1116,장악,6,,,
1117,잼민,6,,,
1118,저건,6,,,
1119,저리,6,,,
1120,적대,6,,,
1121,전범,6,,,
1122,전선,6,,,
1123,전시,6,,,
1124,전파,6,,,
1125,정,6,,,
1126,정답,6,,,
1127,정통,6,,,
1128,젖꼭지,6,,,
1129,존중,6,,,
1130,종족,6,,,
1131,주가,6,,,
1132,중국대륙,6,,,
1133,중임,6,,,
1134,쥐,6,,,
1135,지경,6,,,
1136,지령,6,,,
1137,지식인,6,,,
1138,직원,6,,,
1139,진시황,6,,,
1140,진작,6,,,
1141,진정,6,,,
1142,짐,6,,,
1143,참여,6,,,
1144,참전,6,,,
1145,창,6,,,
1146,최,6,,,
1147,충,6,,,
1148,칼,6,,,
1149,콜라보,6,,,
1150,탈취,6,,,
1151,태권도,6,,,
1152,태그,6,,,
1153,태양광,6,,,
1154,태평양,6,,,
1155,토,6,,,
1156,틀,6,,,
1157,티,6,,,
1158,파악,6,,,
1159,페미,6,,,
1160,페이,6,,,
1161,폭탄,6,,,
1162,풍습,6,,,
1163,한가지,6,,,
1164,한류,6,,,
1165,할리,6,,,
1166,항의,6,,,
1167,항쟁,6,,,
1168,핵폭탄,6,,,
1169,협박,6,,,
1170,호가,6,,,
1171,호구,6,,,
1172,화교,6,,,
1173,후예,6,,,
1174,덩샤오핑,6,,,
1175,각종,5,,,
1176,갈등,5,,,
1177,강화,5,,,
1178,개사,5,,,
1179,객관,5,,,
1180,건물,5,,,
1181,경고,5,,,
1182,경인,5,,,
1183,경험,5,,,
1184,고민,5,,,
1185,곰돌이푸,5,,,
1186,공작,5,,,
1187,관,5,,,
1188,관광,5,,,
1189,광장,5,,,
1190,교수,5,,,
1191,구석,5,,,
1192,군사력,5,,,
1193,귀,5,,,
1194,그날,5,,,
1195,그룹,5,,,
1196,그리스,5,,,
1197,까딱,5,,,
1198,깨문,5,,,
1199,나이,5,,,
1200,남자,5,,,
1201,내면,5,,,
1202,대규모,5,,,
1203,대선,5,,,
1204,대약진운동,5,,,
1205,대책,5,,,
1206,대첩,5,,,
1207,댓,5,,,
1208,덩치,5,,,
1209,도배,5,,,
1210,도서관,5,,,
1211,독자,5,,,
1212,동네,5,,,
1213,동시,5,,,
1214,둘리,5,,,
1215,라이,5,,,
1216,로마,5,,,
1217,로마제국,5,,,
1218,류샤오보,5,,,
1219,리뷰,5,,,
1220,만행,5,,,
1221,말임,5,,,
1222,망건,5,,,
1223,매번,5,,,
1224,맥아더,5,,,
1225,먹기,5,,,
1226,멸공,5,,,
1227,명분,5,,,
1228,모방,5,,,
1229,모자,5,,,
1230,무기,5,,,
1231,문물,5,,,
1232,미디어,5,,,
1233,민족성,5,,,
1234,바다,5,,,
1235,바닥,5,,,
1236,바지,5,,,
1237,박정희,5,,,
1238,발달,5,,,
1239,발생,5,,,
1240,방문,5,,,
1241,방향,5,,,
1242,백두산,5,,,
1243,백제,5,,,
1244,변질,5,,,
1245,병자호란,5,,,
1246,보시,5,,,
1247,보유,5,,,
1248,보임,5,,,
1249,복도,5,,,
1250,복사,5,,,
1251,본적,5,,,
1252,부동산,5,,,
1253,부정선거,5,,,
1254,부패,5,,,
1255,북,5,,,
1256,분명,5,,,
1257,분위기,5,,,
1258,분탕,5,,,
1259,불교,5,,,
1260,비교,5,,,
1261,사리,5,,,
1262,사마의,5,,,
1263,사방,5,,,
1264,사탕,5,,,
1265,산,5,,,
1266,산화,5,,,
1267,삽화,5,,,
1268,생기,5,,,
1269,생활,5,,,
1270,선거,5,,,
1271,선수,5,,,
1272,성우,5,,,
1273,셋,5,,,
1274,소멸,5,,,
1275,소프트파워,5,,,
1276,손해,5,,,
1277,송나라,5,,,
1278,수년,5,,,
1279,수용,5,,,
1280,순수,5,,,
1281,순위,5,,,
1282,스킵,5,,,
1283,스테이,5,,,
1284,습,5,,,
1285,신라,5,,,
1286,신뢰,5,,,
1287,실명,5,,,
1288,실험,5,,,
1289,썸네일,5,,,
1290,아들,5,,,
1291,아빠,5,,,
1292,아웃트,5,,,
1293,아이템,5,,,
1294,안하무인,5,,,
1295,암세포,5,,,
1296,약탈,5,,,
1297,어림,5,,,
1298,어머니,5,,,
1299,어플,5,,,
1300,얼굴,5,,,
1301,업체,5,,,
1302,여야,5,,,
1303,연변,5,,,
1304,영어권,5,,,
1305,영웅,5,,,
1306,예상,5,,,
1307,오픈,5,,,
1308,올해,5,,,
1309,왜구,5,,,
