id,유저ID,내용
38,하예온,그들은 민주화 혁명을 원한다 中国的革命同志们期盼民主化革命。위선적인 독재자를 물리치고 자유를 쟁취하자 战胜被伪善染红的独裁者争取自由。 韩服是民主化运动的象征 我感受到了很多中国人希望用来实现民主主义。 支持你们的勇气。한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. 본섭에는 다시 사과하고 복각 시켰더라 다시 내려라 진짜 다 죽었으면 좋겠다
39,아리랑도 한국것,한국인을 너무 우습게 보지말렴 짱깨
40,별빛모아,만만새 
41,별빛모아,와아
42,꼬보,우리의 한복을 지켜요 널리 퍼트려주세요 
43,역사에남을코메디,비교되네요
44,4번은개인주의,짱깨쌔끼들 웃기네 후진국겜 해주니 주제모르고 기어오르누 앰생 근본도 없는 잡종들이
45,루라아,잉잉 눈막 귀막 오지넹
46,PATISA,헉 널리 퍼트려 주셔서 감사합니다
47,오반데,언제 환불해주냐 아앙아아
48,천안문항쟁,홍콩 대만 위구르 티벳 독립 만세 중국 56개 소수민족들 모두 독립 6.4. 천안문 항쟁 중공 민주화 코로나 국제범죄 시진핑은 ﻿반인도적 범죄 국가적 범죄로 국제재판으로 
49,천안문항쟁,샤이닝니키 사태 요약 정리
50,천안문항쟁,단톡방 대피소 만들어 졌습니다 연맹 게시판 참고
51,햇살모람,hanfu_challenge 韩服是民主化运动的象征 我感受到了很多中国人希望用한푸도전来实现民主主义。 支持你们的勇气。 한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. 한푸_도전 汉服挑战
52,나이아스,개인정보 파기 꼭 해주시길 바랍니다.
53,시진핑,기분조타
54,꼬보,지금 쟤네 한복 중국꺼 따라한거라고 말하고 섭종한거에요 그부분에 대해서는 화나는데
55,유려한,닉넴 시진핑이라 유머랍시고 한 거같은데 그냥 기분만 나쁘고 1도 안웃겨요
56,시진핑,왜시비 짱깨이십니까
57,꼬보,제 닉이요 이거 꼬마보스 줄임말 예전부터 써왔던건데
58,유려한,당연히 꼬보님 말고 윗분 말한거에요
59,시진핑,유려한 응딩이 흔들어라이기 하아
60,하예온,일베 새끼입니다 관심주지 맙시다
61,시진핑,네 친중종북 좌빨 달창님
62,차이니니키,와드종종 성지순례 오겠음
63,역시짱깨겜,역시나 한국은 시장으로 보지도 않는군. 중국이 그냥 잘나셨어요 아주
64,하빈이,왜 이렸게 빨리 서비스 끝나죠
65,무청,이정도 사건이면 섭종할만하죠 
66,까리스찬,무슨 일 있는지 지금 파악을 못하시는지요
67,까리스찬,이거 읽어보세요
68,꼬보,우리의 한복을 지켜요 널리 퍼트려주세요 
69,과일,뭐라는지 이해를 못하겠어요
70,꿈결,환불해주고 가라
71,꼬보,진심 환불빋아야해 단돈 1원도 주기싫다
72,무청,찐인가보네 등급이 카페스탭 
73,참참,저기 환불은 어떻게 하면 되나요
74,무청,플레이스토어 쓰시면 구글에 플레이스토어 환불 방법 앱스토어 쓰시면 구글에 앱스토어 환불 방법 검색하시면 자세히 정리된 글들 많을거예요
75,참참,아 감사합니다 
76,칸토쓰,등급이 스텝이네요 인듯
77,회장,카페 스탭임 
78,만나서 더러웠어ㅎㅎ,개인정보는 잘 살려라. 마지막은 사람답게 가자
79,정겨울,헐
80,흘,오 스텝이네 
81,흘,아 그래서 결국 한복이 너네들꺼고 중국욕하는거 못참아서 섭종한다고 진짜 끝까지 어이없다
82,흘,니들본토가 중국인건 알겠는데 왜 이렇게 선넘냐 다시는 파페 게임 한국에 발 내밀생각 하지마
83,달린,와 그럼 공식으로 환불 처리 해줘 시발럼들아 
84,연,어그로인줄 알았는데 이네 중국 공산당이 압박했나봄
85,정겨울,어그로인줄
86,루우,그래 내 돈 내놓고 가거라
87,11타이완넘버원11,환불해주고가
88,시옷,하하
89,또영,돈이나 환불해주세요
90,kitkat,와 
91,케임,환불은 해주고 가
92,홍콩은 자유에여,오예에에에 잘가셈 
93,애플은과수원,레게노 
94,메그라뚜,시발 진짜 카페스텝이야
95,유 댕,헐 진짜 스탭
96,유 댕,아니 근데 설마 공지가 이게 다예요 번역본 말고 한국어로 쓴거 내주겠지 설마
97,꼬보,네이버 파파고번역 하시면 저 내용은 한복은 중국꺼 따라한거라고 역사적 증거 내놔서 반박하는 내용이에요 와 끝까지 어이없어 진짜 내가 이쪽 공부해서 무조건 저 말에 다 반박할거에요
98,PATISA,국민청원 참여 부탁드립니다
99,꼬보,이 링크 널리 알리겠습니다 감사합니다
100,까리스찬,야 근데 피코하지마 
101,까깡,지랄들 한국에 다신오지마라
102,메그라뚜,잠깐만 환불이랑 탈퇴는 
103,시발짱깨들죽이고싶다,그래 짱깨년아 빨리 개인정보 해킹한거 복구해놓고 탈퇴 진행하고 니네 나라로 다시 꺼져라
104,lalune7th,빤스런하는 주제에 변명은 방구석 여포급이네. 야 환불이나 제대로 해.
105,흐,환불파티네 잘가라 
106,현질안하길다행,와 너무 감사합니다 다신 나타나지마세요
107,웰이,야 미쳤냐
108,녹차모찌떡,스탭이시네요. 개인정보 다 파기하고 가시는 거 잊지 말아주세요. 애초에 그게 잘 한 대응이라고 진짜 역사에 남겠네요.
109,녹차모찌떡,조국의 뜻은 존중하지만 한국은 존중하지 못하겠고 한복이 중국 의관제도인게 맞는데 자꾸 모욕하니까 한국에 서비스를 못하시겠다 그런 내용으로 보면 되나요
110,흥부,내 돈 내놔 
111,wingineer,와 뻔뻔 옷 문화는 ㅈ들이 다 가져가놓고 진짜 중국
112,아이틴,환불은
113,메그라뚜,시발 탈퇴못했는데.
114,흐라아,지들이 지랄하고 나대놓고 우리가 공격받아서 힘들어서 서버닫아용 이지랄하내 뻘갱이시키들이 개빡치네 이러니 욕을 듣지 병신색기들이
115,뽐뿌,더러운새끼들 끄지라
116,WYYWY,우와 드디어 만나서 정말 즐거웠고 다신 보지 말자
117,양개,환불 처리 제대로 하세요
118,슈에리,아니 진짜 이거 진짜라고 해킹 뭐 이런거 아니고 진짜로
119,루아r,이게 진짜면 결국 한복도 지들꺼고 사과 하나없고 모욕적인것만 아네 우리의 모욕감은 더러워서 이겜회사 다시는 안함
120,테일즈,스탭 계정 털렸나 
121,내돈내놔개새끼,전액 환불 좀
122,촨나,진짜 또라이들인가
123,아이틴,환불 처리는 해주고 가
124,흐,한복은 한국의 전통의복 한복은 한국의 전통의복 문화도둑 중국은 변발이나 해라 문화도둑 중국은 변발이나 해라
125,사이,응 한복 너네거 아냐 잘가
126,또영,진짜 존나 웃긴다 한국서버임에도 불구하고 한복은 중국거다라고 못박아두시는거네요 진짜 유저들이 왜 화가 났는지도 모르고 요점도 없고 환불에 대한 내용의 설명이 없는데다가 이런걸 먹튀라고 하나요 전세계인이 다 아는 한복을 지네꺼라고 박박 우기는모습이 우습기만 합니다 
127,가램,뭔 국가의 존엄성을 수호해  재밌게 하던 사람들 건드린 건 니들이잖아
128,131,아싸 개꿀 접어라 
129,usbo,왜 새계정으로 올려지 헷갈리게
130,Restina,섭종은 좋은데 환불은 해주고 가세요 메일 좀 읽으시구요
131,물개쨩,중국전통의 매력은 무슨 지랄하고 자빠졌네
