id,유저ID,내용
517,Arte,한복 청원은 이미 동의했는데 니키 청원이었네요 링크 공유 감사합니다. 참여했습니다.
518,카라레이,니네한테 정통복이 어딨냐 니네 스스로 태워서 버렸잖아 븅딱들아
519,허니,아니 환불 공지부터 올려 
520,존맛,저기요들 환불 공지는요 
521,밀링,참으려했는데 조국을 모욕하는 것은 참지 못한다. 유저탓 미쳤고 진심으로 기적난난부터 게임 이용해온 스스로가 한심하고 빡친다 아니 섭종 공지를 무슨 이런식으로 내요 유저들 환불 얘기는 쏙 빼고 조국 모욕해서 섭종한다. 배신감 지리네 아 되도록 욕 안하고 싶은데 계속 욕 튀어나오려해.
522,쏵쏵,걍 뒤져 제발
523,샤이닝니키그게 뭐죠,화나는건 우린데 왜 지들이 발악임 환불도 쳐안해줘 탈퇴도 안시켜줘 이딴 지랄 맞은 게임 돈줘도 안함 남의 역사왜곡하고 빼앗고 너네는 진짜 인간으로써 선 넘었다 조국거리지마 이새끼들아 말했지 너네꺼는 코로나랑 미세먼지 뿐이라고 빨간 공산당 씹새들아
524,여러개의중국,我们穿着韩服赢得了民主主义。 谢谢你们喜欢韩服我支持中国的民主化 우린 한복을 입고 민주주의를 이뤄냈지 한복 좋아해줘서 고맙다 중국의 민주주의도 응원해 
525,대한민국,대한민국 만세
526,하늘색깔,눈과 손이 달려있음 검색 좀 해봐라 니들빼고 다 아는거다
527,매화G,중국 누굽니까 미쳤나라고 댓글다는거
528,sos3197,그래 공산당이 어딜 가겟누 시진핑 개새끼해봐
529,또리,이렇게 또라이같은 섭종공지는 첨본다 아 어이없어
530,T0RYy,아 진짜 오타쿠짓 하다가 별 레전드 사건 다보네 환불이나 제대로 해주고 가라 진짜 21세기에 살고있는게 맞냐
531,키타테,感谢通过韩服象征民主化运动的韩服支持香港和维吾尔民主化运动。 虽然你是中国人但我还是赞赏你的勇敢行为。
532,황이연,선 넘은 건 저쪽인데 왜 저래요 
533,짱깨S2쪽발이,응 아니야
534,전액환불이나 해,느그가 한복이 중국꺼라는 뉘앙스로 중국에 입장문을 내놓고 거기에 1차 분노한 한국유저들한테 해명이나 사과없이 한국유저 아무도 폐기하란 소리 안했는데 의상세트 폐기하는걸로 그냥 지나가려 한거에서 2차 분노해서 중국 욕 안 멈춘거고 거기다 중국유저들이 한국서버랑 트위터 와서 지랄을 하는데 중국 욕 안하게 생겼음 니들이 먼저 잘못하고 대처도 ㅈ같이 했으니까 욕먹는게 당연한데 한계 
535,끼아옼,3살짜리 애도 아니고 나이 그만큼 먹었으면 본인들이 잘못해놓고 이러는건 사람아니죠 당장 공식 사과문에 한국유저정보 파쇄 및 전액 환불 해줘야합니다 
536,스발,겁나 빡치네 야 환불 제대로 해주고 중국으로 넘긴 정보는 싹 지워라 역시 짱깨들 게임 해보는게 아니였는데 진짜 실망이다 하는 짓이 옆에 쓰나미로 사라져가는 섬나라와 뭐가 다르냐 땅 크기 말고는 하는 짓이 똑같네 똑같아 수준도 거기서 거기고 역사책 제대로 못 읽어서 자기 나라 치켜세우기 바쁘고 남이 배부른거 못 봐서 다른 나라 역사 쓱 가져와서 훔쳐 쓰기 바쁜거 완전 똑같네 아주 똑같아 이참에 그 섬나라랑 합치지 그래
537,끼아옼,한국 서버 유저들 정보 다 파쇄시키고 전액 환불해라 니들 말대로 한국유저들은 큰 상심과 크나큰 마음의 상처를 입었으니 정신적 피해보상해야지 왜 정보 파쇄랑 환불은 쏙들어감
538,냥코대전쟁,국가 존엄 지랄하네 피해 끼치는게 누군데
539,눈꽃달,그리고 한복은 한국의 고유 전통의상이야
540,흑설,니네들이 분노스러운게 뭔데 역사왜곡 당한 우리가 더 분노스럽다 한복은 대한민국의 자랑스런 역사 전통의상이다 너희들이 아무리 기만해도 우리는 우리것을 지킬 것이다 
541,리시아린I,내일 당장 서버닫고 내려요 뭘 굳이 12월로 넘기세요 어이없네 환불이나 해줘요 우리는 유저도 아니라면서요
542,환불했음,역대급 쓰레기다 와
543,에놀라,환불하고 꺼져 미친아
544,puring,응 잘알겠음. 환불이나해.
545,에스파시오,지랄노 짱깨인지 조선족인진 모르겠지만 아주 그냥 염병을 떨어요 염병을
546,귤라,시진핑이 좆빨러 가십쇼
547,김중댕,중국 모욕 개나줘 너거들이 한 행실은 생각안하지 진짜 어이없다 웨이보로 한국까는 중국인들 보고 이러고 있을듯 이제 돈챙길거 다 챙겼으니까 섭종이지 환불이나 해
548,하 나,我们穿着韩服赢得了民主主义。 谢谢你们喜欢韩服我支持中国的民主化 우린 한복을 입고 민주주의를 이뤄냈지 한복 좋아해줘서 고맙다 중국의 민주주의도 응원해 
549,한복중국꺼아닌데요,야 이게 뭔 개소리야 니들탓이고 섭종한다 아님 짱깨는 한국에서 꺼져라 진짜
550,puring,아이러브니키도 삭제 잘했네 역대급 똥이구먼
551,만두야,결국 그거잖아. 꽁무니 빼고 도망은 쳐야겠고 근데 찌질함은 감추고 싶고. 그래서 말 같지도 않은 소리만 문법도 맞춤법도 안 맞는 한글 써재끼며 우리는 우리의 자존심을 지키기 위해 떠나는 거야 절대 도망치는 게 아니라고 같은 전형적인 찌질한 엑스트라 빌런 퇴장 발언을 장황하게 늘어놓은 거.
552,귤라,시진핑 좆빨러 가십쇼
553,냥코대전쟁,너희 제작사 때문에 하루에 몇건이나 보이스피싱오고 몇건이나 해외 문자가 오고 트위터 계정 털렸고 페북 털렸고 내 기기가 중국에 있다고 뜬다고 개인정보 돌려내
554,eses7050,섭종되기전에 환불하고 탈퇴처리 다해주고 가라
555,제네비브,인간적으로 이렇게밖에 못합니까 아이폰 어케 환불하라고
556,니키에진심,개인정보 삭제하실거죠 기업이 넘 거지같아서 못믿겠어요 
557,puring,이후로 짱깨 게임을 다시하면 내가 사람아니다 
558,탈퇴하자,에라이 병신들 말하는거 졵나 뻔뻔하네 그래도 망해서 좋다 다신 보지 말자 그리고 아무리 중국이 우겨도 한복은 한국거 
559,순덕,개새기들아 내돈내놔 안쓰러워서 1200원이랑 4900원은 냅뒀드만 환불 안돼네 시기들 더럽게
560,귤라,天安門 天安门 法輪功 李洪志 Free Tibet 劉曉波
561,짱오리,와 근데 섭종은 하는건데 내용봐라 너네 중국인들은 웨이보나 트위터에서 한국을 모욕하고 조롱하는 발언은 하나도 안했냐 그렇다고 장담할수 있어 사진까지 올려가며 비아냥 대던 수많은 글들이 있었는데 그리고 게임 하던 유저들은 트위터랑 상관없이 카페에서 게임 좋다좋다 하면서 기대하고 있었는데 지들이 웨이보 쳐들어가서 중국 소수민족 의상이니 해놓고 공지는 지들이 완젼 일방적으로 피해 입은것 마냥 써놓은거봐 가증스럽네 진짜. 한복은 한국의 전통의복이야 이새끼들아
562,요아넬,국가의 존엄성같은 개똥같은 소리하지말고 12월 9일까지 뭐 있을것도 없고 빨리 우리나라에서 꺼져주쇼 얼척이 없네 진짜 
563,오타종결자,FREE HONG KONG 시진핑 개새끼 씨발놈 하 시진핑이 아무리 개새끼 라도 부모님 욕은 못하겠다
564,온설,어이없네
565,비냉,프리 홍콩 타이완 넘버원 변발민족 러브유셀프
566,샤브,대한민국 만세
567,달삔,어이가 없네 진짜 중국 모욕이라고 생각하기 전에 남의 문화 넘 본 니네나 반성해 좀 저 민족은 반성을 몰라 도대체 다 니네 문화라고 우기지 좀 말고 환불이나 쳐 해라
568,새히,신고
569,Bitt,환불하고 가라 내 돈 주고 가 
570,니키야 잘가,너네 정부에서 지랄하니까 공지도 이따군거지 링크는 왜걸어뒀냐 불난데 부채질 오지네
571,냥코대전쟁,참 대처 개같이 하네 느그나라 쳐 빨아줘 남의 나라 고유 문화 건들지 말고 짱깨새끼들아
572,sos3197,프리 홍콩 홍콩의 민주화를 기도합니다
573,환불해주세요,섭종은 당연한거고 환불 해줘야지 12/9일 장난하시나요 한섭 전 유저에게 전액 환불하세요 당장 뭐하는거임
574,짱개타도,쓰레기같은것들
575,한복중국꺼아닌데요,다시 생각해도 좆어이없네 단군이 부동산사기 당한게 틀림없다 일본은 뭐 평생 지랄이고 중국은 존나 개노답지랄 진짜 전부 없어져주라 제발
576,sos3197,짱깨 꺼져 
577,니키야 잘가,중국 모욕하고 있네 그냥 끄지세요
578,존맛,야 야 환불은 언제해줄꺼야
579,이채,아 엿먹으쇼 한국에 다시는 들어오지 마세요 
580,쿠잉,쳐돌았네 이런 조옷같은 운영은 처음보네. 문화도둑질 역사왜곡 그러더니 이따위로 글싸지르고 섭종 게임에서 이따위 취급받는거 진짜 어이없네. 아니 주변국 무슨일이야 다 지들꺼래 아오 
581,카제,엥 실화에요 꿈이라면 아침에 깨워주세요 이거 꿈이죠
582,대파채,가는거는 좋은데 먹은거는 뱉어내고 가라 오픈한지 한달도 안되서 섭종하는건데 다 환불 해줘야지 
583,호얍,너네는 진짜 그렇게 생각하고 살아라 엿먹이네 진짜로
584,sos3197,야오룬하오 
585,짱개타도,코로나 걸려서 다 죽어라 짱깨새끼들
586,플뢰르에,가지가지한다 짱깨 쓰레기 새기들
587,달이김,진짜 에바쎄바 대가리 훼까닥 하더니 마지막엔 애비도 뒤졌노 한복이 그렇게 이쁘고 탐나면 빌려줄게 옛다 대신 중국 내놔 중국은 대한민국꺼 그렇게 좋아하는 공산당에서 너거덜끼리 뒤통수쳐먹고 살어라 괜히 조용하고 잔잔한 대한민국와서 흙탕물 튀기지 말고
588,카드값줘체리힝,이 미개한 새끼들은 장사를 하겠다는건지 지들 뇌 내 망상을 강요를 하겠다는건지 돈벌고싶음 고객 응대부터 배워라 
589,sos3197,显得你不够 哈哈哈哈哈 不知道就安静点 别别扭扭地插嘴 所有评论这篇文章的人都支持中国政府披露天安门事件中国民主化以及台湾和香港的独立 이 글에 댓글을 작성한 모든 사람은 중국 정부의 천안문 사태 진상 공개와 중국의 민주화 대만과 홍콩의 독립을 지지합니다.
590,Qpspcsk,love your변발
591,니키야 잘가,페이퍼게임즈 망길 기원
592,히지까따,입을 옷이 얼마나 없으면 남의 나라의 옷을 도둑질 하냐 没多少衣服可穿就偷别人的衣服啊呵呵。
593,줫같네,에휴 병신들
594,으니여니,환불은 해주고 가라 장난치나
595,몽아미,짱깨가 짱깨 함 
596,슬,다 필요없고 한복은 대한민국꺼라서 말 할 필요도 없구요 싹 다 환불하고 사과글이나 박으세요 
597,89,아 진짜 미친새끼들 피해자 코스프레 오질나게 하네 뭔 정신머리로 운영하고 있는거냐 걍 섭종하면 다같이 뒤져
598,SUMi,중국이 중국했다
599,갈비찜덮밥,hanfu_challenge 韩服是民主化运动的象征 我感受到了很多中国人希望用한푸도전来实现民主主义。 支持你们的勇气。 한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. 한푸_도전 汉服挑战 hanfu_challenge
600,냥코대전쟁,피코함
601,제로니모네,두번 다시 한국 오지마. 가해자들아
602,포류,돈 환불해주기 싫어서 섭종하는데 한달이나 걸리냐 짱깨들아 전액 환불하고 핑핑이한테나 가서 민주주의가 부럽다고 징징대라
603,느그변발,응 뭐라고 울지말고 얘기해
604,갈비찜덮밥,즈그문화 남은게 ㅈ도없어서 남의거 더럽게 뺏어가려는 수준 야 너네가 피해자냐
605,미친,뭐하는놈이야
606,sos3197,显得你不够 哈哈哈哈哈 不知道就安静点 别别扭扭地插嘴 所有评论这篇文章的人都支持中国政府披露天安门事件中国民主化以及台湾和香港的独立 이 글에 댓글을 작성한 모든 사람은 중국 정부의 천안문 사태 진상 공개와 중국의 민주화 대만과 홍콩의 독립을 지지합니다.
607,노아0858,환불은 해주고 섭종해
608,노아0858,개인정보도 제대로 파기하고 결제금액 전액 환불해줘
609,홍사,진짜 공지마저 염병한다
610,홍사,시진핑 개새끼 시발련들아 习近平小兔崽子
611,어쩔꼰대,Free hongkong 중국공산당 조선족 짱깨 게임은 꺼져라 
612,야오윤하오,축하해요 
613,오늘도뜅굴,결론은 지네조국은 중국이니까 짱깨 마인드로 한복은 중국꺼라는거네 이런 회사 게임을 내가 했다니 수치스럽다 중국애들 돈이나 쳐 받아먹으면서 운영해라
614,화비아,응 시진핑 개새끼 Free Hong Kong Free Tibet
615,봉봉의요정,모든 사람들 전액 환불해주고 모든 개인정보 파기해달라 우리도 우리의 전통한복을 대가리 딸려서 자기네 전통옷이라고 우기는 미개한넘들껀 하고 싶지않다 머가리가 없음 부끄러운 줄 알아야지 생각없는걸 자랑스럽게 티내고 다니는 중국놈들 니들이 이러니 착짱 죽짱이러는거야 일본놈들이랑 다를게 없네 없어 중국애들 다 죽으면 인구수도 작아지고 지구도 좀 더 살만해질듯
616,봉봉의요정,Free Hong Kong Free Tibet
617,지윥,정말 마지막까지 못배운티 내시네요 우리가 중국전통의상을 보고 따졌나요 한국 전통의상인 한복을 한푸라고 우기니까 이런 사태가 벌어진거죠 어디서 한복을 들먹여요 역사로 글짓기하는 것도 작작하세요 무슨 초등학생보다 이해력이 딸리는지 너네 어떻게 돌아가는지 뻔하다 
618,동그리동563,국가 존엄 중국이 언제부터 국가엿나용 걍 여러 소수민족들이 모여사는 땅이잖아용 존업이랄게 있는 집단인가용
619,Meme,와 이거 미친놈들이네 게임 십오년간 해오면서 이렇게 쓰레기같은 회사는 처음본다 역시 중국이라 그런가 말뽄새 주댕이 찢어놓구싶네 진짜 니들도 중국 눈치보느라 힘들겠지 사실은 뭐가 옳은건지 알고 있을거야 하면서 이해하려고 해봤는데 혹시나가 역시나구나 그래 섭종이야 그렇다치는데 내용 무슨일이야 아무 문제없던 한복을 가지고 난리친 짱깨병신들을 놔두고 피해자를 이런식으로 몰아간다고 마치 우리가 잘못한것마냥 입으로 똥을싸네 개소리도 정도껏해야지 뚫린 주둥이라고 함부로 놀리나 어디서 하수구 냄새나는 벌레들이 깨끗한 한국에 들어와서 물을 흐려 니들 주둥이로 바닥 닦아도 되겠어 그래도 한가지는 고맙다 이번일을 계기로 다시는 좆같은 짱깨 겜을 안할 수 있으니까 상종 못할것들 자려다가 괜히 발견해서 기분 잡치고 자겠네 씨발 所有评论这篇文章的人都支持中国政府披露天安门事件中国民主化以及台湾和香港的独立。
620,라쿤r,곧 사라질 카페라면 그냥 욕 쓸거 다쓸께요. 중국의 매력을 볼수있는 의상이요? 그딴거 트럭 10대로 몰아서줘도 안받아요. 볼생각도 없고 관심도 없어. 국가때문에 한나라의 문화를 비난해선 안된다는걸 알지만 솔직히 이건 당신들이 먼저 건들였으니까 나도 건들일거야 당신들이 입는옷이든 뭐든 문화든 그게 얼마나 매력적이든간에 당신들은 결국중국이고 더러운 거짓말쟁이들일뿐이야 아 그러고보니 당신들 인터넷문화중에 한국어 욕도 쓴다며 예전 유행어라던데 온갖욕 다박아주고싶네
621,갈비찜덮밥,조국 모욕 입으로 똥만 싸면 단줄 알지 새끼들 조국모욕은 느그변발들이 한거고요 핑핑이 ㅈ이나 빨러 가쇼 공산당
622,sos3197,니키 변발 아이템 나오길 기대합니다
623,홍베리,어쩌라고 그래서 한복 니네꺼라고 같잖은소리하지마세요. 섭종하시기전 환불 처리는 다 하고 가셔야죠 중국이 중국했네. 이걸 또 당하네 진짜 너네나란 뭐 이리 변함이 없냐 그리고 무슨 회사가 나라와 의견이 일치해야해 진짜 대단한 인민공화국 납셨다 문화대혁명때 다 불사지르셨는데 뭔 중국문화가 남아요 이게 다 니네 나라 업보야 멋나보이는 문화없는게 
624,dedew,착짱 죽짱 시1235245발들아
625,지구지,웅 천안문
626,냥코대전쟁,개인이 써도 저거보다 잘 쓰겠다 저게 공식이라고 미개해
627,밤새,지랄하네 중국인들이 한복 표절해서 이지랄 난거잖아. 예쁘고 좋은게 다 니네 나라꺼면 태양도 중국꺼 해 중국 다 불태워서 없애버리게. 중국이 할 수 있는 착한 일은 죽는게 답이다.
628,안다미로,중국모욕 지들 문화 싸그리 불태우고선 우리꺼 뺏어가는 개새끼들아
629,봉봉의요정,hanfu_challenge 韩服是民主化运动的象征 我感受到了很多中国人希望用한푸도전来实现民主主义。 支持你们的勇气。 한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. 한푸_도전 汉服挑战 Free Hong Kong Free Tibet
630,꼬라지하고는,대단하다 역대급이네 일주일만에 겜 망하게 하는것도 능력이라면 능력이다 어쩜 중국 너네는 죄다 뺏으려들어 이 도둑놈들아 나중에 니들이 한짓 꼭 되돌아가길 빌게 진짜 코로나부터 민폐 쩐다 어휴 만나서 드러웠고 다신 만나지말자
631,안다미로,문화 주장하면 치파오 입고 변발부터 하시고 부숴버린 공자 묘지부터 되돌리세요
632,Arte,중국 중국 중국 역겹기도 하지 그렇게 조국을 떠받들고 떠드는 말들을 모욕과 단순 급진적인 언론으로 치부하면 도대체 뭐가 남나요 국가의 자부심 오히려 우리 유저들이 유감스럽고 분노해야 할 일이죠. 논란을 일으킨 세트를 폐기했다고 논란을 잠재울 수 있을 거라는 우매한 생각으로 어떻게 세계화를 시킵니까 그리고 이 게임의 취지가 그거라구요? 중국 의상과 전통의 매력을 알리는것 이미 충분히 모순적인 그 태도를 도대체 어떻게 이해하고 받아들여야 합니? 뻔뻔한 낯짝 좀 치워주세요. 토 나옵니다. 이런 쓰레기를 소비할 뻔했다니 정말 어이가 없어요. 멍청한 견해를 품고 중국기업으로써 당신네 나라를 위한답시고 역사를 왜곡하고 눈가리고 발버둥을 치는게 당신네들 나라의 가치인가요 유저들의 인내심이야말로 한계치에 다다른지 오래입니다. 중국은 우리나라에서 발 빼세요. 당신들이 이룬 것이 아닙니다. 당신들이 만든 것이 아닙니다. 정신들 차리시고 제대로 된 현실을 보세요.
633,량12,개
634,장사접어,거지새끼도 아니고 한국유저들 돈 환불해주고 꺼져 다신 한국 근처에 얼씬도 하지 마. 그리고 만약 개인정보 한 명이라도 유출하면 매일 꿈에 그분이 나와서 너희를 꽈악 껴안고 잠에서 깰 때까지 정면으로 뽀뽀 해줄거다 
635,김량량,탈퇴나 시켜주고 섭종해
636,니키야 잘가,페이퍼게임즈 망길 기원 
637,김량량,이대로 돈먹고튀노 
638,솔담,그냥 너네들 말은 한복이라니 우리나라의 고유한 전통의상인데 감히 너네가 우리의 문화를 욕해 그건 참을 수 없어. 너네 욕하는 꼴 못 보겠으니까 섭종해버려 이거 아닙니깤 아 개웃기네 현실은 한복김치 다 대한민국 전통문화 상징 짱깨들아 고집도 적당히
639,스피넬,환불해줘 
640,호박pie,이정도면 단체 소송해야하는거 아닌가 
642,쿠리링모,어이가
643,ㄴi  i,돈 뱉어내
644,sos3197,빙신들이 누가 의상세크 폐기하랬냐고 지들이 독단적으로 폐기 지랄발광 떨고 한복을 지들거라 우기고 자빠졌으니 한섭 유저들이 항의하지 이딴식으로 할거면 한국섭 왜 열음 동북공정 하는 ㅅ같은게임을 한국인이 누가 하냐고 시발놈들아 중국으로 꺼지고 페이퍼게임즈 다신 한국 오지마 
645,젤리,환불이나 쳐해주고 가라
646,쿠리링모,우리나라옷을 지키겠다고 한건데 이걸 이렇게 하네 돌으셨어요
647,요우쟁이,개소리도 정성껏 썼네 시진핑 개새끼
648,니키야 잘가,한계같은 소리하네 한계는 우리가 먼저 왔고 너네는 한게 뭐있다고 지치는지 조선족이라지만 말 좀 똑바로 하자 앞으로 느그회사 겜은 거름 ㅅ하세요
649,깨진거울,착짱 죽짱 먼저 기만한건 누군데 중국이잖아 지들이 한복은 한국껏이 아니라며 지랄을 떨몈서 한국은 바퀴벌레니 조선족이 중국에 있으니 한복은 중국껏이라니 그딴 지랄과 지랄은 다 떨어가면서 결국 섭종 그래 잘 꺼져 한계는 개뿔 느그 중국이 하는 역사왜곡질에 빡친거지 병신들아 확실한건 가해자는 중국이고 피해자는 한국임 2000년전까지만 해도 중국은 싫었어도 625전쟁도 북한이 징징거려서 어쩔 수 없이 했다는 인식이 있어서 그래도 중국에 대한 인식이 양호했지만 그 인식 다 좆망시킨게 느그 중국의 동북공정 짓이란다 좆같은 한자 세종대왕님 감사해요 알라뷰
650,한복은 한국의 전통의,아 환불 해주세요
651,쿠리링모,너네 나라 시진핑한테 사료나 주고와 
652,페퍼겜레전드네,개뻔뻔한건 알고있었고 임마들아 환불은
653,운명을거스르는,ㅅ들
654,Zzzzz0,환불이나 똑바로 해주세요 돈 날로 먹을 생각 하지말고 그 중국갬성 어디까지 가나 봅시다 마지막까지 유저기만 하는 꼴 잘 봤구요 다시는 한국에서 안 보였으면 하네요 개인정보도 파기해 그냥 재기해 
655,여나나,피코 어디 중꾹 에서 열심히 운영해보십셔 서로 잘 다독 다독해주시면서 
656,헬라,어이 짱깨들아 갈땐 가더라도 환불은 하고 가야지 미친놈들아 니들은 조만간 하늘이 심판할거다
657,홍유한,한복을 중국 정통복식이라고 하지마세요 더러우니까 니들옷은 치파오고 괜히 이쁘니까 외국인들이 좋아하니까 탐내지 말라고 양심도 없는놈들이 무슨 존엄성은 그리고 모욕은 니들이 한 모든 행동들이 모욕이세요 지랄도 정도껏 해야지
658,냥코대전쟁,지금 회사 전체가 다 돌은 것 같은데 1주일만에 게임 섭종 능력이다 이것도
659,행복님,와 서비스 종료라니 미친놈들
660,Nadia,시발 그러니까 지네 말만 맞다고 끝가지 그러는 거잖아 난 무과금이여서 상관없지만 다른 분들은 환불해주고 너희의 위대한 시진핑리를 위해서 그딴 개소리를 지꺼리든지 난 이제 상관안할랜다 
661,Nadia,참고로 내가 진짜 걱정되서 그러는데 지랄도 병이라니까 꼭 한번 정신병원 가보는 거 추천함
662,몽몽,와 진짜 결국은 결론이 이거군요 끝까지 한복을 한국 고유의 의상이라고 하지도 않고 한국에게 사과는 일절 없고 유저들 기만하고 오로지 중국만을 옹호하겠다그래요 니네가 그렇지 늘 그런식이지 
663,Helena88,기만은 니들이 먼저했잖아. 남의 문화를 도둑질해가려가는게 아주 버러지만도 못하네 븅신들이 아주 지랄똥을 싸고 앉았네요?? 내돈이랑 여기 과금러들 돈이나 토해내고 개인정보도 파기하도록 하세요. 그리고 싸게싸게 니네들 나라로 돌아가세요 아오자이 뺏길 치파오랑 한복 뺏긴 한푸도 돌려주도록 하세요 미개한 족속들아 남의 것 훔치려고 발악하기 전에 너희들이 태운 너희 근본 부터 찾으려고 노력하세요 
664,니키야 잘가,환불이나 해달라고 씹새들아 언제 해줄건데 아 진짜 욕나와
665,쿠잉,당청당 실화 존나 진짜 개무섭다 공산당 으악 
666,이뱅냥,끝까지 조국조국거리는게 진짜 소름돋네요 함께해서 더러웟고 다신 만나지말자. 중국산겜은 중국이 민주화됏을때하자
667,맛집,야 이거 백퍼 짱깨다 
668,장깨들 나가뒤지세욘,시발 사과라고는 1도 찾아 볼 수가 없네 문화 열등감 오지는 짱깨 새끼들느그나라에서 처먹고 살지 그러게 한국와서 돈 처먹을라구 어디서 문화 도둑놈 주제 우리나라에 들어와서 돈 처 먹을려해 짱깨새끼들아 미개한 니네 시진핑이랑 짱깨들이랑 붙어 먹고 살지 우리 나라에 들어올 생각 도 말아라 가난 뺑이들아
669,빡치네,이야. 진짜 제대로 돌았구나
670,요우쟁이,여러분 중국본사를 욕합시다. 공지 말투도 완전 달라졌고 계정도 달라요. 본사에서 한국지사 입막는듯
671,단념,지건 마렵네요 
672,쿠리링모,너네 조국 어쩌라고 망하던가너네 베트남이나 인도 문화도 지들 꺼라 우기는데 우리라곤 못 할까 응 치파오 창파오 마라상궈 우리꺼
673,냥코대전쟁,이거 왜 GM 계정 아니야 너희들 정부에서 시켰구나 번역기 돌린거 같은 말투에 새계정이네 어라
674,쿠리링모,뭐 아니라고 우웅 그래서 머 우쩌라구 우리껀데
675,어이털린다,와 진짜 눈을 의심했네 이 모자란 사람들아 잠시나마 이 게임에 몸을 담군 내가 병신인거지 걍 니네 나라로 가세요 다신 오지 말고
676,상아리,내돈 내놔
677,북두칠성1,너네 문화가 얼마나 개쪽이면 남의 나라거 빼앗아서 지네거라고 처우기고 앉아있죠 양심은 좆도 없겠지
678,장깨들 나가뒤지세욘,한복 시발 우리나라거라고 븅딱 짱깨드라 지네 나라 역사도 모르니까 우리나라꺼를 지네 꺼라고 거들먹거리네 존나 뇌 텅텅 빈 소리가 육지건너 여기꺼지 들린다 신진퓡퓡 엉덩이나 닦아주며 살아라 짱깨들 민주주의 응원해
679,주란,다 필요 없고 돈이나 뱉어
680,설렘,중국모욕 니네가 우리나라 모욕한거지 대가리 총맞은것들아
681,오뎅오,이의있음 서비스 종료는 종룐데 개인정보 유출에 대한 건 따로 말 없으시나요
682,매화G,환불하고 떠나라 이시키들아 돈튀하지말고 환불하고 떠나
683,sos3197,시진핑 좆이나 빨라
684,엔딩,섭종 감사합니다. 섭종했다고 끝나게 아닙니다 환불 처리에서 많은 문제가 생기고 있는데 신속하게 처리해주실 거라 믿습니다
685,아리랑도 한국것,지랄똥싸고 있네 니들이 한게 뭐가 잇는데 중국한테 쩔쩔매는니들이 유저심장 1만큼이라도 이해하려고 노력도 하지 않았고 듣기보다 입막음을 선택했고 시발
686,puring,환불 계정탈퇴는 해주고 가셈. 진짜 안해주면 착짱 죽짱이 뭔지 넘나 잘 깨달은 사건으로 남을듯
687,니키야 잘가,님들 저거 링크도 중국사이트 같은데 들어가지마세요 안그래도 정보 관련 문제로 불안한데 조심합시다 차피 저거 내용 안봐도 쓰레기일거라는거 앎 
688,상큼달콤캔디,지랄한다
689,루엔,환불해주세요
690,디파,习近平领导的反对独裁的演讲用韩文写的好听了。现在是付诸行动的时候了。
691,뭉무,샤이닝니키 한 내 인생 ㄹㅈ 종료 그래 차라리 섭종이 낫겠네요 잘 생각하셨어요 
692,옵뚜뚜,니미 어쩌겠다는거 알겠으니까 서버나 열어 탈퇴하게
693,게임가,직원7명 백수만드네
694,대한민국만만세,야 가기전에 탈퇴는 하게 해줘
695,ㅗㅜㅑ,워우 사과문도 아니였던거네 중국몽스탭
696,빡친다,개인정보나 그만 털어가세요. 돈이나 다 뱉으세요. 아이러브니키에도 쏟아부은 돈들이 얼마인데. 한복에 대해서 우길껄 우기세요. 공지글인데 왜 화난건지 이해불가입니다
697,미소양,그냥 지금 섭종하고 돈 토해내라
698,레몬파이,만나서 드러웠고 다신 보지말자 그리고 한복은 우리꺼다 팩트로 조져도 반반도 못하는 놈들이 어디서 주댕이를 들이밀어 짱깨 수준 어디 안가쥬
699,리무르,어휴 어이가 없네 지금 중국이 얼마나 잘났을까? 외국에서 버림받고있는 나라가 어디서 지금 
700,282,지랄하네 진짜
701,리시아린I,내일 문닫으셔도 되요 아쉬운거 하나도 없습니다.
702,단념,야마 돌았네 야 우냐? 
703,탈주닌자A,我们穿着韩服赢得了民主主义。 谢谢你们喜欢韩服我支持中国的民主化 우린 한복을 입고 민주주의를 이뤄냈지 한복 좋아해줘서 고맙다 중국의 민주주의도 응원해 
704,니키야 잘가,아니 한국지사 입막음시킴 수준하고는 너네는 할줄 아는게 입막음밖에 없니 논리력 딸려서 그렇구나
705,마리아,여러분 그럼 환불은 어떡하죠 이게 개 사기꾼들급이네
706,장사접어,도둑놈 새끼들 코로나로 받은 많은 욕과 관심만으로 부족했나
707,냥냉,다시는 한국에 발도 들이지마 동북공정 개극혐
708,사망자,잘가라
709,인어,모욕은 먼저 하시지 않았나요. 자기들은 잘못을 안 한 마냥 다른 사람들 까내리는게 맞는 행동인가요 한국의 한복을 한국의 것이라고 한게 그렇게도 아니꼬우셨나봅니다. 먼저 선 넘은 건 중국 유저분들쪽 아닌가요 중국 돈 맛있냐
