순위,단어,빈도
434,한마디,4
435,진상,4
436,타이완,4
437,통,4
438,채팅,4
439,짱,4
440,최단,4
441,척,4
442,절대,4
443,중간,4
444,재화,4
445,존재,4
446,중국산,4
447,존엄,4
448,중궈,4
449,조상,4
450,적반하장,4
451,제일,4
452,저장,4
453,조치,4
454,이야기,4
455,이틀,4
456,일단,4
457,이미지,4
458,인구,4
459,이자,4
460,얼척,4
461,여행,4
462,옆,4
463,억지,4
464,어그,4
465,예전,4
466,엘베,4
467,앱스토어,4
468,안드로이드,4
469,시기,4
470,실행,4
471,스토어,4
472,수치,4
473,시전,4
474,신념,4
475,셈,4
476,쓰기,4
477,순차,4
478,세기,4
479,소름,4
480,시바,4
481,사기,4
482,붕괴,4
483,사기꾼,4
484,밥,4
485,방금,4
486,배,4
487,상종,4
488,바람,4
489,미련,4
490,말투,4
491,바다,4
492,명,4
493,몽환,4
494,대륙,4
495,다음,4
496,대응,4
497,둘,4
498,니미,4
499,딸,4
500,디자인,4
501,기간,4
502,광장,4
503,그동안,4
504,근거,4
505,권한,4
506,능력,4
507,기준,4
508,농락,4
509,국제,4
510,네이버,4
511,김치,4
512,뉴스,4
513,골,4
514,병,4
515,거의,4
516,거짓,4
517,가득,4
518,개인,4
519,계기,4
520,고요,4
521,검색,4
522,거리,4
523,공개,4
524,가야,4
525,강조,4
526,가지가지,4
527,가해자,4
528,가장,4
529,페이,4
530,포함,4
531,한숨,4
532,한자,3
533,홍보,3
534,한지,3
535,현실,3
536,효력,3
537,필요,3
538,패키지,3
539,파쇄,3
540,현황,3
541,해외,3
542,학교,3
543,폐렴,3
544,협의,3
545,한일,3
546,행위,3
547,한가지,3
548,한국말,3
549,추가,3
550,책,3
551,차별,3
552,초등학생,3
553,차이,3
554,최근,3
555,차이나,3
556,집,3
557,친구,3
558,초코우유,3
559,쭝꿔,3
560,총,3
561,지사,3
562,첫날,3
563,톡,3
564,청나라,3
565,축제,3
566,집중,3
567,초기,3
568,중공,3
569,주일,3
570,정통,3
571,준비,3
572,제도,3
573,중심,3
574,지도,3
575,제해,3
576,죽창,3
577,재팬,3
578,저자,3
579,중구,3
580,조롱,3
581,조선인,3
582,주기,3
583,지리,3
584,주년,3
585,좆망,3
586,인생,3
587,일개,3
588,인증,3
589,이름,3
590,자존심,3
591,일방,3
592,인식,3
593,위구르,3
594,인지,3
595,은근,3
596,웅장,3
597,애정,3
598,옛날,3
599,영수증,3
600,안녕,3
601,언급,3
602,열,3
603,욕심,3
604,안주,3
605,엄마,3
606,애도,3
607,연결,3
608,요약,3
609,소비,3
610,쌍것,3
611,섬,3
612,소송,3
613,새벽,3
614,수정,3
615,아가리,3
616,속도,3
617,신도,3
618,세트,3
619,실수,3
620,스트레스,3
621,심보,3
622,상품,3
623,본국,3
624,배신,3
625,사이트,3
626,사단,3
627,방식,3
628,븅,3
629,보드,3
630,빼,3
631,북방,3
632,사료,3
633,복장,3
634,봄,3
635,상담사,3
636,범죄,3
637,밤,3
638,비,3
639,비난,3
640,미래,3
641,바이바이,3
642,미세먼지,3
643,무작정,3
644,몇,3
645,만,3
646,모,3
647,바보,3
648,바지,3
649,모순,3
650,반박,3
651,발광,3
652,몽,3
653,동물의숲,3
654,대국,3
655,등신,3
656,답변,3
657,답글,3
658,독재자,3
659,대갈,3
660,랜덤,3
661,도망,3
662,나이,3
663,기적,3
664,글삭,3
665,꼴깝,3
666,냄비,3
667,넘버원,3
668,기모노,3
669,나중,3
670,눈치,3
671,국적,3
672,급진,3
673,꿈,3
674,급,3
675,눈앞,3
676,구매,3
677,느낌,3
678,그대로,3
679,기전,3
680,내내,3
681,공산,3
682,검열,3
683,공유,3
684,개뿔,3
685,경고,3
686,거란,3
687,개꿀,3
688,거래,3
689,가스,3
690,고객,3
691,강요,3
692,월요일,3
693,개념,3
694,거짓말,3
695,가십,3
696,병진,3
697,곤룡포,3
698,가면,3
699,관복,3
700,티베트,3
701,환가,3
702,난징대학살,3
703,폐쇄,2
704,하트,2
705,폐지,2
706,후회,2
707,페북,2
708,파괴,2
709,페스티발,2
710,환뷸,2
711,폭파,2
712,회원,2
713,투자,2
714,풍악,2
715,표절,2
716,화이팅,2
717,하늘,2
718,한정,2
719,퉤,2
720,품,2
721,활동,2
722,플레이,2
723,팝콘,2
724,플레이스토어,2
725,파파,2
726,훼손,2
727,혼자,2
728,후진국,2
729,하하,2
730,킹덤,2
731,차례,2
732,탕진,2
733,착각,2
734,친,2
735,캡쳐,2
736,창,2
737,지인,2
738,짐,2
739,탈모,2
740,철수,2
741,쭉,2
742,짓거리,2
743,치기,2
744,침,2
745,카페나,2
746,초반,2
747,짜장,2
748,크기,2
749,최고,2
750,쪽바리,2
751,짜증,2
752,최대,2
753,탕,2
754,짝짝,2
755,태도,2
756,충격,2
757,진의,2
758,취급,2
759,통제,2
760,쟁취,2
761,정이,2
762,정책,2
763,중단,2
764,저능,2
765,전쟁,2
766,제외,2
767,전형,2
768,정권,2
769,즉각,2
770,지난,2
771,접속,2
772,주인,2
773,조차,2
774,주전,2
775,족속,2
776,장담,2
777,전화번호,2
778,존버,2
779,잼,2
780,존심,2
781,졸라,2
782,지긋지긋,2
783,재기,2
784,지난번,2
785,종특,2
786,지능,2
787,종합,2
788,지령,2
789,재미,2
790,주둥이,2
791,주가,2
792,일본도,2
793,이십,2
794,임마,2
795,이정,2
796,일반인,2
797,우한,2
798,일인,2
799,자격,2
800,의관,2
801,일대,2
802,워,2
803,일베,2
804,의도,2
805,의문,2
806,위치,2
807,욬,2
808,원인,2
809,자도,2
810,의심,2
811,이용,2
812,인내심,2
813,일말,2
814,인도,2
815,유미,2
816,인류,2
817,운영자,2
818,인민,2
819,유입,2
820,위선,2
821,인성,2
822,이사,2
823,이기,2
824,일터,2
825,유래,2
826,입막음,2
827,이내,2
828,인지도,2
829,이세,2
830,용서,2
831,일괄,2
832,원칙,2
833,유머,2
834,이주,2
835,작업,2
836,이참,2
837,잡종,2
838,예측,2
839,언니,2
840,아하,2
841,예상,2
842,얼,2
843,옹호,2
844,얼굴,2
845,얼마,2
846,어플,2
847,오전,2
848,얼씬,2
849,아이템,2
850,언어,2
851,어메이징,2
852,열흘,2
853,업체,2
854,영토,2
855,예능,2
856,여러,2
857,예술,2
858,외국인,2
859,여지,2
860,안보,2
861,올해,2
862,연,2
863,안내,2
864,아침,2
865,외국,2
866,암만,2
867,애비,2
868,쌍,2
869,소매,2
870,소전,2
871,손해,2
872,소비자,2
873,생,2
874,쓱,2
875,수도,2
876,소릴,2
877,수발,2
878,서쪽,2
879,수입,2
880,싸가지,2
881,선조,2
882,쏙,2
883,섬나라,2
884,씨벌,2
885,세종대왕,2
886,실,2
887,순간,2
888,실제,2
889,스토리,2
890,서울,2
891,승인,2
892,심려,2
893,시대,2
894,싯팔,2
895,샴페인,2
896,싸움,2
897,시발련,2
898,소국,2
899,쓰시,2
900,시장,2
901,생기,2
902,시절,2
903,소액,2
904,서든,2
905,아럽니키,2
906,신뢰,2
907,신경,2
908,방,2
909,비판,2
910,삼,2
911,보신,2
912,베이징,2
913,버러지,2
914,사전,2
915,복각,2
916,비교,2
917,버릇,2
918,빠꾸,2
919,복의,2
920,변국,2
921,본래,2
922,사용,2
923,보기,2
924,번역기,2
925,번역본,2
926,배때기,2
927,부모님,2
