일자	언론사	제목	키워드
20210403	부산일보	[논설위원의 뉴스요리] ‘조선구마사’ 폐지 중국풍(風)과 문화 전쟁?	조선구마사,폐지,중국풍,문화,전쟁,중국,논란,조선구마사,폐지,김치,한복,중국,동북공정,원조,주장,동북,공정,문화공정,정서,한국,문화,견제,시각,존중,중국,음식,의상,시청자들,항의,4일,방송,시작,폐지,SBS,퓨전,사극,드라마,조선구마사,장면,사진,방송,드라마,캡쳐,조선구마사,SBS,드라마,방송,시작,4일,폐지,드라마,드라마,중국,음식,소품,논란,역사,왜곡,시청자,항의,반중,反中,정서,정도,실감,사람들,민간,방송사,사극,판타지,퓨전,특정,의도,시청자들,드라마,드라마,중국,음식,소품,용납,전통문화,중국,원조,주장,심기,상황,조선구마사,지적,세기,후반,경제적,급성장,중국,바탕,역사,문화,분야,중화,민족,중심주의,강화,주변국,마찰,발생,역사,동북공정,전통문화,문화공정,양국,국민,문화,전쟁,긴장감,조선구마사,폐지,중국풍,용납,SBS,지난달,방송,배경,조선,초기,드라마,역사,판타지,조선구마사,기획,의도,인간,탐욕,욕망,이용,조선,멸망,사악,악령,백성,인간,혈투,의도,충녕대군,세종,기생집,외국인,사제,대접,월병,피단,달걀,오리알,음식,만두,중국풍,지적,논란,역사,왜곡,출연진,의상,실내,장식,도마,국민,반감,급상승,2002년,시작,중국,동북공정,충격,국민들,전통문화,중국,원조,주장,문화공정,인식,정서,폭발,해프닝,역사,소재,무감각,국민,정서,간과,드라마,제작진,역사의식,부재,상황,초래,지적,역사,문화,공정,움직임,중국,문화,긴장감,고조,분위기,중국,전통,음식,김치,종주권,주장,동북공정,문화공정,지적,사진,중국,한국,상품,전시회,출품,한국,김치,동북,공정,충격,공식적,2002~2007년,진행,중국,정부,역사,프로젝트,동북공정,국민,충격,자랑,한민족,역사,고조선,고구려,발해,중국,역사,지방,정권,중국,결과,의심,중국,민족,연결,사회주,통일국가,강화,중국,정부,정략적,대한민국,핵심적,고대사,정부,대응,충격,전통문화,중국,원조,중국,문화,주장,국민들,정서,중국,억지,비이성적,주장,양국,국민,문화,전쟁,조짐,중국,인구,내수,시장,무기,적극,활용,바람,국민,대중,정서,악화,한류,세계적,브랜드,주목,성장,경향,모양새,김치,한복,손흥민,중국,원조,김치,종주권,주장,시작,중국,자국,판매,김치,제품,김치,파오차이,泡菜,표기,강제,우리나라,김치,중국,김치,표기,절임,채소,파오차이,국제표준화,기구,ISO,국제표준,등록,정부,파오차이,김치,음식,김치,국제식품규격위원회,CODEX,국제규격,설정,김치,국제적,논쟁,자체,한복,일명,샤이닝니키,사건,중국,게임,개발사,한국,시장,출시,한복,차림,게임,캐릭터,중국,한복,중국,소수,민족,조선족,전통복,한푸,漢服,명시,주장,개발사,한복,의관,제도,중국,굴복,1주일,한국,서비스,중단,파문,게임,소품,활용,전통,중국,게임개발사,중국,원조,논란,개발사,중국,명나라,영감,국민,자극,요즘,포털,중국,최대,바이두,삼계탕,중국,유래,음식,소개,논란,문화,윤동주,손흥민,유명인,원래,중국인,주장,대중,영합,인터넷,사이트,네티즌,억지,분야,중국,한복,중국,소수민족,조선족,전통복,한푸,漢服,주장,논란,사진,벡스코,대한민국,한복,페스티벌,장면,한국,문화,위기감,견제,시각도,인접국,전통문화,자국,문화,아류,취급,독자성,부인,경향,중국,굴기,시진핑,체제,중화,민족주의,국가,애국심,강조,교육,집중적,세대,등장,문화공정,빈도,강도,전망,중국,공산당,애국주의,활동,긍정적,전통문화,경각심,시점,한국,문화,시기심,견제,심리,표출,중국,문화,혁명,자신,전통문화,말살,시피,한국,전통문화,보존,바탕,세계적,문화강국,부상,영화제,세계,유수,각종,수상,상징,음악,드라마,의상,세계,브랜드,성장,한국,문화,견제,위기감,열등감,복합적,문화공정,설명,문화,본질,원조,교조적,상정,자체,소모적,문화,상호,영향,관점,만큼,상대,배제,논리,갈등,양국,국민,문화,설명,자국,문화,자부심,노력,강조,자국,문화,맹목적,자존,自尊,관점,공동체,유지,지속,측면,인식,중요,개개인,문화,이해,노력,국가,문화,전수,홍보,제도,마련
20210406	전북일보	중국의 ‘문화공정’과 우리의 자세	중국,문화공정,자세,주제,서기,중국,문화공정,세계,각국,문화들,중국,원조,행태,중국,행태,한류,문화,세계,확대,온라인상,쟁점,구독자,중국,유튜버,김치,영상,제작,Chinese,food,해쉬태그,한국,전통음식,김치,중국음식,표현,네티즌,논쟁,논쟁,김치공정,이름,설전,진행,중국,문화공정,김치,우리나라,고유,의복,한복,중국,한푸,중국,한족,전통복장,모방,주장,어른,남자,머리,의관,중국,원조,주장,사회,문화,방면,중국,문화공정,상황,학생들,태도,문화,보존,노력,주제,신문기사,주제,신문,기사,중앙일보,유튜버,아나운서,김치도발,전북일보,미술관,한복,남원시립김병종미술관,한복,기획전,파오,차이,김치,동북공정,우리말,움직임,신문,읽기,읽기자료1,유튜버,아나운서,김치도발,중국,문화,도발,김치,김치,식품,20년,국제무대,한국,고유,요리법,인증,국제,표준,국제식품규격위원회,한국,김치,국제,표준,인정,정리,사안,중국,무리,도발,감행,고도,노림수,도발,주체,환구시보,중국,관영,언론,환구,시보,포문,환구,시보,김치,종주국,치욕,제목,기사,한국,김치,무역,적자국,수입,김치,중국산,보도,기사,중국,쓰촨,四川,지방,요리,절임,채소,파오차이,泡菜,국제표준화기구,ISO,표준,인증,작성,김치,실상,ISO,표준,인증,문서,파오차이,인증,김치,적용,document,apply,kimchi,시작,중국,김치,장쥔,張軍,대사,중국,UN,트위터,김치,사진,중국,유튜버,리쯔치,李子柒,김장,영상,설명란,중국,요리,Chinese,Cuisine,해시태그,중국,랴오닝,遼寧,주샤,방송국,아나운서,朱霞,김치,격식,떨거지,음식,비하,김치,민족,중국,조선족,음식,중국,문화,주장,중국,공산당,정법위원회,공산당,중앙,정법,위원회,한국,김치,한국,곶감,한국,단오,한국,결국,스스로,불신,불안감,자신감,피해망상,힐난,중국,화춘잉,華春瑩,외교,대변인,파오차이,소금,발효식품,나라,지역,중국,오차이,한반도,중국,조선족,김치,주장,싱하이밍,주한,중국,대사,한국일보,인터뷰,김치,갈등,한중,역사,가치,공유,요소,진화,각국,문화,유전자,중국,민족,구성,조선족,김치,종주국,양국,유대,요소,발언,한민족,중국,민족,뉘앙스,한국,문화,중국,문화,시각,김치,도발,중국인들,공통점,중국,공산당,입김,사람들,환구시보,기관지,중국,공산당,인민일보,자매지,리쯔치,유튜브,중국,유일,허용,중국,문화,유튜브,채널,공산당,묵인,대사,중국,UN,정법위원회,공산당,중앙,정법,위원회,외교,대변인,두말,관계자,중국,공산당,김치,중국,문화,주장,공통점,파오차이,중국,음식,파오,차이,인증,국제,표준,시점,집중적,김치,논란,사실,동북공정,한복,문화,논란,김치,논란,배경,경제적,측면,전문가들,지적,한국,김치,수출액,1억,달러,코로나19,무역,차질,38%,전년,대비,38%,BTS,위시,한류,김치,면역강화,수출,식품,어려움,김치,역주행,성공,도발,김치,국제적,음식,지위,중국,김치,시장,주도권,의도,풀이,한국농수산식품유통공사,식품,수출부,윤상영,부장,김치,산업,성장,중국,글로벌,경쟁,상황,종균,기능성,품질,중국,김치,차별화,경쟁력,확보,중국,노림수,파오차이,세계화,파오,차이,국제,표준,인증,대대적,보도,중국,쓰촨,파오차이,세계,노력,파오차이,중국,동포,피클,Dongpo,Pickle,우리나라,소동파,중국,송나라,동파,東坡,소식,蘇軾,이름,동파육,유래,중국,자부심,음식,국제무대,인지도,김치,비교,중국,파오차이,쓰촨,중국피클식품국제박람회,10년,쓰촨,파오,차이,단지,정도,각종,파오차이,기관,국립파오차이품질검사센터,파오차이기술연구원,파오차이박물관,쓰촨,박람회,세계적,식품업체,바이어,초대,효과,조정,세계,김치,연구소,전략,기획,본부장,중국,파오차이,산업화,오래전,심혈,산업화,단계,표준,제정,성공,국가적,설명,김치,세계,인기,편승,중국,마케팅,파오,차이,노이즈,조정,본부장,파오차이,중국,조급증,무리,마케팅,표출,터키,그리스,바클라바,덕분,원조,논란,터키,바클라바,수출량,사례,바클라바,페이스트리,견과류,디저트,국가,지중해,연안,아랍,국가,음식,제조업자들,터키,바클라바,제조,업자,업체,바클라바,산업화,시위,터키,언론,독립기념일,그리스,오바마,대통령,바클라바,비판,기사,그리스,터키,바클라바,원조,논쟁,기원전,메소포타미아,문명,아시리아,격화,논란,덕분,터키,바클라바,수출액,달러,달러,50배,성장,수출액,우리나라,김치,1억,달러,바클라바,20배,규모,월드,미국,시장,기관,마켓,리포트,보고서,세계,김치,시장,규모,달러,성장,전망,읽기자료2,파오차이,김치,동북공정,우리말,움직임,나라,우리나라,전통,국적,A씨,트위터,이용자,외국어,얌꿍,오코노미야키,사용,우리말,온라인,커뮤니티,이용자,중국,매체,누리꾼,김치,한복,한국,전통문화,중국,유래,억지,주장,분개,한국,누리,문화,한복,명나라,의상,문화,왜곡,누리,분통,중국,문화,동북,공정,중국,자국,영토,전개,역사,자국,역사,편입,2002년,추진,사업,동북,공정,문화,분야,적용,표현,11월,중국,게임,회사,한복,나라,의상,주장,자국,이용자,동조,계기,논란,문화,동북,공정,인민일보,중국공산당,기관지,人民日報,자매지,환구시보,環球時報,파오차이,절임,채소,泡菜,제조법,국제표준화기구,ISO,표준,제정,중국,김치산업,인가,시장,국제,김치,기준,표준,김치,국제,세계,인정,주장,논란,기름,지난달,유튜버,중국,유명,김치,음식,자국,전통,주장,구글,각종,온라인,포털,사이트,김치,기원,중국,등록,사실,이달,중국,백과사전,사이트,바이두,百度,윤동주,시인,독립운동,이봉창,윤봉길,국적,조선족,표기,사실,공분,전통,우리말,한국,누리,중국,문화,왜곡,항의,수준,왜곡,시도,근본적,차단,전통문화,누리꾼,전통문화,외국어,표기,목소리,전통문화,외국인,이해,고유어,외국어,문화,정통,약화,문화,왜곡,빌미,제공,누리꾼,라이스,케이크,rice,cake,씨름,코리안,레슬링,Korean,wrestling,설날,차이니즈,Chinese,번역,관행,중단,호소,Ddeok,씨름,Ssirreum,한국어,발음,설명,당부,지난달,트위,전통문화,외국식,번역,한국,색채,외국,주장,1만,리트윗,누리꾼,커뮤니티,온라인,게시,한국,제목,한국,문화,고유어,사용,한국,전통,촉구,누리꾼,라이스,케이크,한국,음식,댓글,동의,반크,사이버,외교,사절단,한국어,고유,명사,한국어,발음,해외,캠페인,진행,태권도,Taekwondo,고추장,Gochujang,온돌,Ondol,한국,전통,단어,외국어,풀이,고유어,사용,한국,전통문화,사실,명시적,취지,반크,관계자,언어,언어,정체성,한국,전통문화,한국,인식,고유어,사용,설명,전문가들,고유어,한복,씨름,한국,전통문화,조언,서경덕,성신여대,교양,학부,교수,고유어,사용,한국문화,한국문화,도움,문화,동북,공정,분노,방위적,홍보,문화,당부,읽기자료,미술관,한복,기획전,남원시립김병종미술관,한복,그림,한복,주제,공예,전시,주장,정통성,중국,억지,주장,정통,의미,기획,중국,한복,김치,자국,문화,왜곡,억지,주장,문화동북공정,남원,한복,정통성,의미,한복,전시,눈길,남원시립김병종미술관,Dialogue,기획,전시,상춘곡,賞春曲,남원시,개관,한복,체험관,화인당,花人堂,중심,한복,분야,한복,오브,가능성,시도,남원시립김병종미술관,기획,전시,번째,한복,복식,전통,소재,디자인,활용,한류,해외,반응,미술관,한복,주제,표현,오브제,그림,공예,예술,분야,접목,입체적,전시,이례적,미술관,그림,꽃빛,한복,향연,남원,출신,김병종,화백,박연옥,화백,그림,명인,김혜순,한복,한복,남원,출신,조선,시대,여류,문인,김삼의당,1769~1823,춘경,春景,시구,특별,콜라보,남원시,관계자,한복,시각,조명,사례,남원,지역성,한복,문화,형성,명인,김혜순,한복,영화,서편제,광해,드라마,황진이,토지,의상,제작,한복,디자이너,한복,허영,1947~2000,선생,외삼촌,전시,선생,허영,제작,한복전통인형들,반가,여인,허영,선생,조카,김혜순,표현,작품,김병종,화백,작품,생명,노래,당의,저고리,한복,말군,속바지,쾌자,조끼,형태,한복,활옷,전통,혼례,새색시,혼례,예복,10개,마네킹,LED,조명,몽환적,분위기,김병종,화백,작품,생명,노래,화홍산수,생명,노래,황화산수,생명,노래,천지,삼면,전시관,칠적관,적의,왕비,마네킹,고풍,자태,비단옷,춘경,春景,전시관,그림,한복,소장,윤주,한국,지역,문화,생태,연구소,시구,김삼의,인용,봄날,정서,김삼의당,18세,동네,하립,혼인,평생,남편,편지,작품,생각,열기,기본,활동,자료,김치,자국,문화,중국,주장,정리,기본,활동,자료,중국,김치,파오차이,원조,주장,정리,기본,활동,자료,자료3,김치,중국,자신,문화,주장,기본,활동,자료,기사,전통문화,정리,기본,활동,자료,전통문화,활동들,서술,중국,동북공정,문화공정,동북공정,한국,고대사,동북아시아,역사,현상,중국,동북변강역사여현상계열연구공정,중국,사회,과학원,산하,변강,역사지리,중심,설립,정부,중국,공식적,동북공정,시작,사무처,동북,공정,중국,국경,역사,중국,역사,고구려,발해,역사,중국,역사,주장,인터넷,공개,한국,중국간,외교문제,비화,한국,중국,역사왜곡,대처,고구려,재단,발족,출처,다음백,동북공정,문화공정,2006년,동북공정,양상,중국,동북,지역,역사,문화,중화인민공화국,역사,문화,귀속론,중국,변강이론,체계화,작업,중점,5년,축적,연구성과,바탕,동북,박물관,대학,사회과학원,각종,조직,구체화,추진,주체,중앙,지방,출처,한국민족문화대백과사전,동북,공정,생각,생각,화제,중국,문화,공정,사례,정리,생각,생각,조사,바탕,중국,문화공정,대응,자세,읽기자료2,읽기자료3,참고,작성,제작
20210415	국민일보	中 게임에 등장한 ‘아이유 한복’ 또 문화동북공정?	게임,등장,아이유,한복,문화동북공정,후궁,법칙,궁3,황제,차용,중국,게임,한복,의혹,논란,중국,한국,전통,의상,한복,한푸,자신,원조,주장,논란,중국,모바일,게임,과거,아이유,드라마,한복,의상,등장,중국,문화,동북,공정,커뮤니티,각종,온라인,출시,중국,모바일,게임,황제,여성,캐릭터,드라마,연인,보보경심,아이유,모습,지적글들,방송,연인,보보경심,포스터,아이유,포스터,하늘색,바탕,노란색,소매,동정,한복,논란,모바일,게임,캐릭터,의상,한복,아이유,포스터,아이유,포스터,하얀색,꽃다발,자세,소매,자수,싱크로율,논란,누리,중국,시작,게임,불매,중국,한국,문화,속국,한복,주장,분노,표출,중국,우리나라,문화,자국,문화,조치,비판,논란,중국,게임,의복,동북공정,SNS,중심,확산,중국,모바일,게임,후궁,법칙,등장,청나라,의복,한복,유사,지적,궁3,황제,중국,배경,게임,제기,논란,황제,2018년,출시,중국,청나라,배경,유저들,게임,황제,신하,후궁,나라,통치,게임
20210420	아시아경제	[톺아보기]퓨전 한복은 한복인가?	퓨전,한복,한복,함혜리,언론인,문화비평,한복,덕분,케이팝,스타,세계,관심,세계적,아이돌,가수,한복,뮤직,비디오,유튜브,조회수,기록,한복,관심,문화체육관광부,한국공예,디자인문화진흥원,서울디자인재단,공동,주관,동대문디자인플라자,DDP,케이팝,한복,주제,전시,마음,BTS,청하,지코,오마이걸,케이팝,한류,주역,실제,무대,한복,전시,전통문화,신한류,원동력,작용,현장,감상,홍보,문구,실망,실망,전시,생각,어이,주제도,맥락,마네킹,흰색,민머리,마네킹,단순,나열,디스플레이,순간적,백화점,착각,정도,전시,자체,의상,감흥,메시지,참여,디자이너,혼신,개별,작품,생각,전시,의상들,한복,세계,한류,콘텐츠,무한,성장,무리,김영민,교수,공부,모순,고래상어,상어,무표정,표정,무의미,의미,단절,일종,자문,머리,퓨전,한복,한복,얼마,얼마,드라마,조선구마사,역사왜곡,비난,16부,방영,전격,폐지,320억,드라마,제작비,중국,자본,중국,문화공정,문화공정,고구려,역사,중국,역사,중국,동북공정,문화,영역,확대,주장,사례,한복,한푸,논란,중국,네티즌들,우리나라,한복,중국,명나라,한푸,속국,주장,중국,패션,스타일링,게임,샤이닝니키,한국판,출시,기념,캐릭터들,선택,의상,한복,의상,추가,한국,전통,의상,명나라,한푸,조선족,고유의상,중국,유저,반발,한국,서비스,중단,중국,주장,헛소리,치부,문화,정체성,상태,중국,한복,한국,외국인들,인식,지구상,한복,코리안,키모노,현실,한복,전통,의상,만방,퓨전한복,퓨전,한복,한복,퓨전한복,한복,모티브,현대적,감성,한복,소재,사용,한복,의상,전통,한복,외면,젊은이들,현대,감성,퓨전,한복,관심,다행,케이팝,스타,퓨전한복,무대,환영,한복,한복,생각,주제,변주,가능,전통한복,정확,중국,문화공정론,대두,시점,문화체육관광부,무대의상,케이팝,스타,무대,의상,능사
20210426	전자신문	[이슈분석]40조원 시장을 문화공정 무기로 야욕 드러내는 중국	40조,시장,문화,공정,무기,야욕,중국,중국,중앙선전부,판호,발급,심사,기준,사회주,핵심,가치관,부합,중국,우수,문화,포함,40조,게임시장,중국,시장,자국,게임,문화공정,무기,사용,의도,게임,심사,평점,규칙,명명,기준,독창성,품질,지도,방향,문화함양,완성,분야,게임,심사,최고,점수,5성,평균,내자판호,0점,유통,허가,지도방향,정확,역사관,인생관,가치관,세계관,육성,도움,판단,문화함양,게임,중국,우수,문화,심사,명시,샤이닝,니키,사태,입장,일치,페이퍼,게임즈,샤이닝,한국,서비스,기념,게임,한복,아이템,추가,샤이닝,니키,스타일링,게임,주인공,니키,플레이어,대결,콘텐츠,한복,추가,중국,SNS,중심,한복,의상,중국,고유,한푸,주장,페이퍼게임즈,출시,하루,한복,아이템,삭제,한국,이용자,정보,페이퍼게임즈,중국,기업,입장,조국,일치,중국,전통,국가,존엄,모욕,행위,배격,대응,종료,게임,서비스,선언,공산주의청년단,공청단,작성,첨부,한복,의관,제도,중국,공청단,중국공산당,파벌,후진타오,중국,국가주석,리커창,총리,공청단,출신,니키,아이러브,페이퍼게임즈,국가,전통,의상,수집,전작,한복,의상,제작,시가,총액,텐센트,전자쇼핑몰,세계,최대,전자,쇼핑몰,알리바바,결정,중국,공산당,자유,페이퍼,게임즈,눈치,중국,정부,설명,논란,페이퍼게임즈,설립,한국법인,청산,중국,2000년대,동북,공정,작업,실행,고대사,훼손,목적,게임,이용,전력,능력,왜곡,역사관,주입,주력,소프트월드,출시,한나라,로마,고구려,야만적,민족국가,표현,게임,타이페이게임쇼,TGS,RTS,대상,정도,인기,국수적,편협,왜곡,역사관,한국,고대사,해외,이용자,각인,윤원호,윤원호,열린우리당,의원,문화관광부,문화체육관광부,국정감사,생산,판매,컴퓨터,게임,우리나라,역사,왜곡,실태,파악,대책,정부,차원,촉구,설가장,고구려,소굴,고구려,섬멸,게임,설정,환상,삼국지,월드컵,악마,응원단,상징,치우천왕,악마,묘사,업체,시아,중국,수출,역사,왜곡,도구,본래,무림,정파,사파,마교,무림연맹,대결,무협,게임,중국,배달국,치우천왕,중원,차지,전쟁,이야기,각색,치우천왕,악마,현혹,전쟁,화신,묘사,중국,역사관,주입,동시,티베트,신장지역,독립국,묘사,스웨덴,페러독스,아이언,하트,오브,수입,게임,CD,몰수,강경,조처,방향성,유지,홍콩,타이완,티베트,코로나,중국,정치,국제,갈등,나라,채팅창,게임,존재,게임,선전도구,중국,정부,인식,확인,전상후,게임,평론가,일본,코에이,게임,외모,삼국지,등장인물,인식,게임,인식,형성,영향,중국,정부,시도,문화공정,게임,SNS,중국,세대,사실,확증편향,오류,가능성,지적
20210426	세계일보	박술녀, 中 ‘한푸’ 주장에 패션쇼로 증명 “한복은 한국 옷 전 세계에 알려야”	박술녀,한푸,주장,패션쇼,증명,한복,한국,세계,박술녀,한복,디자이너,사진,한복,행동,사장님,KBS2,사장,당나귀,박술녀,한복,패션쇼,모델,섭외,정혜선,박정수,박준금,이야기,이날,박술녀,감염증,신종,코로나바이러스,코로나19,진행,한복,패션쇼,준비,코로나19,패션쇼,중국,한복,자신들,한푸,주장,반박,의의,박술녀,요즘,중국,한복,얘기,한복,대한민국,세계,패션쇼,직원들,중국,우리나라,중국,난리,우리나라,한복,대한민국,대한민국,국민,강조,박술녀,한복,패션쇼,모델,섭외,박준금,정혜선,박정수,사람,모델,섭외,승낙,박준금,분위기,가지,사회,무대,한복,마음,사장,당나귀,방송,화면,캡처
20210501	머니투데이	배그는 왜 인도에서 쫓겨났을까 '게임의 정치학'[인싸IT!]	배그,인도,게임,정치학,인싸IT,게임산업,성장세,천덕꾸러기,취급,15조,연간,매출,거대,산업군,성장,미래,세계,설명,메타버스,Metaverse,게임,게임,아이들,나중,큰일,소리,큰일,게임,위상,만큼,이슈,각국,정치,외교,이해관계,특정,게임,퇴출,각종,분쟁,게임업,관계자,정치,게임,만큼,국제,영향,산업,인도,배틀그라운드,중국,게임,삭제,버버리,인도,서비스,공식,종료,배틀그라운드,모바일,배그,대표,사례,배그,펍지,PUBG,게임,모바일,버전,IP,지식재산권,중국,기업,텐센트,공동,한국,일본,펍지,퍼블리싱,유통,국가,텐센트,퍼블리싱,화근,중국,국경,분쟁,인도,전격적,텐센트,퇴출,인도,이용자,3300만,모바일,퍼블리싱,펍지,서비스,재개,시도,소식,100%,펍지,지분,100%,소유,크래프톤,상장,악영향,영국,중국,갈등,게임,표출,중국,신장,웨이우얼자치구,인권,국제,사회,눈총,영국,대표,패션,브랜드,버버리,신장,생산,면화,사용,중국,텐센트,자사,아너오브킹스,인기,게임,의상,캐릭터,착용,버버리,삭제,한복,중국,의복,판호,문화공정,압박,게임,사이,중국,갈등,우리나라,예외,사드,THAAD,갈등,판호,허가증,업계,게임,피해,최소,추산,게임,기간,중국,제한,중국,게임,한복,고유,문화,소개,문화공정,갈등,한창,출시,후궁,중국,모바일게임,법칙,캐릭터,청나라,황실,한복,등장,이용자들,한복,중국문화,의도,지적,중국,게임사,페이퍼게임즈,출시,샤이닝니키,한복,모티브,의상,등장,논란,중국,이용자,한복,한푸,명나라,의상,漢服,항의,한국,이용자,반발,샤이닝니키,한복,의상,삭제,한국,서버,철수,이달,중국,중앙선전부,판호,기준,게임,심사,평점,규칙,문화,의미,평가,항목,중화,우수,문화,전파,여부,확산,가능,판단,논란,한복,중국진출,걸림돌,업계,게임,불안감,40조,중국,게임시장,세계,최대,규모,게임,특수성,희생양,게임,업계,중국,영향력,중국,게임,산업,규모,기준,이용자,6억,규모,세계,최대,게임시장,보유,중국,중화사상,각국,게임사,압박,속수무책,상황,업계,게임,중국,자본,침투,텐센트,액트,파이브,로얄크로우,라인게임즈,앤유,게임사,투자,진행,게임사,넷마블,주주,크래프톤,주주,이용자,사이,중국,반감,업계,게임,산업,성장,확장성,역설적,정치,상황,취약,언어,국경,장벽,시장,진입,문화,영향력,만큼,제재,업계,관계자,게임,산업,역사,자체,정치판,코걸이,귀걸이,제재,중국,판호,자국,게임,내부적,제재,박사,윤형섭,게임학,게임,콘텐츠,산업,규모,문화,영향력,중국,입장,과거,일본,문화,자국민,영향력,측면
20210512	세계일보	광장시장서 한복 프로필 사진 찍기 어떤가요	광장시장,사진,한복,프로필,가요,한복,프로필,챌린지,행사,참가자,중국,한반도,역사,김치,한복,판소리,문화,주장,동북공정,東北工程,서울,광장시장한복협동조합,한복,지킴이,광장시장한복협동조합,조합,행사,전통,한복,지킴이,8일,진행,장소,광장시장,한복,문화,체험관,외국인,대상,전문,사진작가,사진,한복,프로필,감염증,신종,코로나바이러스,코로나19,방역지침,예약제,의거,사전,예약,운영,예약자,한복문화체험관,방문,한복,전통,일반,용포,무장,중전,의상,가체,한복,부속품,체험,조합,한복,전통,의상,중국,전통,의상,한푸,패션쇼,학회,전통,의상,한복,문화,문화,침탈,한복,대중화,세대,문화,민족,긍지,자부심,고취,행사,진행,설명
20210519	영남일보	이형호 초대 한복진흥원장 "한복, 최고 문화상품 우아함 살린 디자인 고민해야"	이형호,초대,한복,진흥원장,한복,최고,문화,상품,디자,고민,통계청,자료,우리나라,한복,사업체,2015년,3천,13%,감소,추세,주변,예전,한복집,정도고,대여점,상태,이형호,사진,초대,한국한복,진흥원장,우리나라,경제,중요,역할,대구,섬유산업,쇠퇴일로,한복산업,상태,진단,한복산업,악화,한복,전통성,상징성,문화,자산,핵심적,가치,생각,발전,임무,원장,한복,부흥,한복,인식,전환,제안,한복,설문조사,불편,사람,시선,부담감,한복,마당쇠,도인,한복,정도,과거,시점,당대,최고,장인정신,최고,문화상품,원장,한복,정도,가격,지불,고급,인식,한복,디자인,고민,전통,섬유,소재,신소재,적극,활용,의례복,품격,격식,제품,우리나라,영향력,인사,오피니언,리더,행사,한복,활용,주문,BTS,한복,세계인,주목,중국,네티즌들,한복,원류,중국,한푸,주장,넷플릭스,공개,드라마,킹덤,조선,시대,모자,폭발적,관심,억지,논란,자체,한복,가치,이야기,생각,원장,분야,사람,한복,산업,부흥,소통,볼거리,문화,관심,진흥원,노력
20210525	YTN	英 콜린스 사전에 '한복' 등재..."中 왜곡된 주장에 대응"	사전,콜린스,한복,등재,왜곡,주장,대응,역사,영어사전,영국,유명,영어,사전,콜린스,사전,한복,hanbok,등재,사이버,외교,사절단,반크,단체,소속,신지원,연구원,사전,지난달,콜린스,사전,한복,설명,영어,자료,심사,한복,단어,등재,사이트,콜린스,사전,한복,hanbok,검색,치마,특징,격식,자리,한국,전통,의상,설명,연구원,미국,메리엄,웹스터,사전,사전,영국,옥스퍼드,콜린스,사전,미주,유럽권,담당자들,사전,편찬,자료,편지,한복,신규,단어,요구,중국,한복,한푸,漢服,중국,원조,왜곡,주장,대응,반크,캠페인,일환,황제,중국,모바일,게임,아이유,과거,가수,드라마,한복,의상,등장,논란,11월,페이퍼게임즈,중국,게임사,샤이닝니키,한복,모티프,의상,중국,이용자,한복,중국,의상,주장,중국,포털,사이트,김치,한국,문화인,삼계탕,기원,중국,왜곡,설명,반크,사전,해외,유명,한국,문화,고유,언어,등재,중국,문화,왜곡,대응,한국,역사,문화,한복,영어,단어,등재,지렛대,프랑스,스페인,러시아,사전,국가,언어,한복,프로젝트,추진
20210526	아시아경제	스위스 영상 올리고 "아름다운 중국" "이젠 풍경도 훔치나" 비판 봇물	스위스,영상,중국,이젠,풍경,비판,봇물,매체,무단도용,외국,풍경,도용,영상,게재,거짓말,누리,항의,해명,삭제,중국,매체,사진,스위스,풍경,중국,소개,사실,누리꾼,비판,일각,중국,풍경,비아냥,중국,누리,매체들,나라,문화,자신,주장,문화공정,마찰,상황,사진,도용,지적,영어,발행,중국,관영,매체,차이나데일리,트위터,페이스북,공식,사회,서비스,SNS,계정,중국,영상,게재,영상,도로,장면,주변,호수,산맥,하늘,장관,연출,차이나데일리,평화,마을,산책,영상,누리꾼,중국,방문,감탄,반응,누리꾼,찬사,의문,누리꾼,중국,언론,스위스,풍경,중국,촬영,거짓말,주장,의혹,누리꾼,영상,풍경,영상,스위스,유튜버,영상,비교,결과,중국,소개,영상,유튜버,스위스,풍경,무단도용,사실,영상,원작자,페이스북,트위,신고,차이나데일리,영상,항의,논란,차이나데일리,해명,영상,삭제,누리꾼,사과,영상,나라,풍경,중국,질타,누리꾼,중국,풍경,비판,중국,누리꾼,매체,김치,한복,중국,전통문화,주장,논란,환구시보,매체들,중국,현지,매체,11월,중국,주도,김치,산업,국제,표준,정식,탄생,보도,매체,쓰촨,음식,채소,절임,파오차이,국제표준화,기구,ISO,인가,김치,종주국,한국,굴욕,취지,주장,구독자,1400만,중국,리쯔치,유명,유튜버,김장,영상,게재,김치,중국,음식,소개,물의,중국,누리,의상,한국,전통,한복,명나라,한푸,기원,주장,논란
